<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.BAC,D,01/01/10,00:00,15.1100000,15.1100000,15.0600000,15.0600000,5154576
US1.BAC,D,04/01/10,00:00,15.2500000,15.7500000,15.1700000,15.6900000,115984267
US1.BAC,D,05/01/10,00:00,15.7400000,16.2000000,15.7000000,16.2000000,122582601
US1.BAC,D,06/01/10,00:00,16.2100000,16.5400000,16.0300000,16.3900000,119467438
US1.BAC,D,07/01/10,00:00,16.6900000,17.1800000,16.5100000,16.9300000,178919379
US1.BAC,D,08/01/10,00:00,17.0000000,17.1000000,16.6300000,16.7800000,129324365
US1.BAC,D,09/01/10,00:00,16.7725000,16.7800000,16.7700000,16.7800000,2111810
US1.BAC,D,11/01/10,00:00,17.0000000,17.1400000,16.7200000,16.9300000,97636245
US1.BAC,D,12/01/10,00:00,16.7300000,16.7500000,16.1700000,16.3600000,112908464
US1.BAC,D,13/01/10,00:00,16.4300000,16.7800000,16.1500000,16.6200000,101527253
US1.BAC,D,14/01/10,00:00,16.6100000,16.9200000,16.6100000,16.8200000,84750988
US1.BAC,D,15/01/10,00:00,16.6500000,16.6500000,16.2300000,16.2600000,96963926
US1.BAC,D,16/01/10,00:00,16.2800000,16.2800000,16.2600000,16.2600000,5174591
US1.BAC,D,19/01/10,00:00,16.0775000,16.4700000,15.8400000,16.3200000,89187878
US1.BAC,D,20/01/10,00:00,16.1800000,16.6300000,16.1800000,16.4900000,122235784
US1.BAC,D,21/01/10,00:00,16.4700000,16.6500000,15.2000000,15.4700000,186092766
US1.BAC,D,22/01/10,00:00,15.2600000,15.5100000,14.7100000,14.9000000,118668076
US1.BAC,D,23/01/10,00:00,14.8900000,14.9100000,14.8900000,14.9000000,5890030
US1.BAC,D,25/01/10,00:00,15.1800000,15.2400000,14.7700000,14.9800000,121564788
US1.BAC,D,26/01/10,00:00,14.9500000,15.1700000,14.7200000,14.7700000,83911356
US1.BAC,D,27/01/10,00:00,14.7300000,15.2900000,14.6800000,15.1900000,94157126
US1.BAC,D,28/01/10,00:00,15.4100000,15.5900000,15.0150000,15.3800000,74765335
US1.BAC,D,29/01/10,00:00,15.5300000,15.5500000,15.0900000,15.1800000,60654430
US1.BAC,D,30/01/10,00:00,15.1200000,15.1800000,15.1200000,15.1800000,11103061
US1.BAC,D,01/02/10,00:00,15.2700000,15.4400000,15.1300000,15.4200000,75494576
US1.BAC,D,02/02/10,00:00,15.4500000,15.6800000,15.3100000,15.5800000,80880265
US1.BAC,D,03/02/10,00:00,15.5700000,15.7900000,15.5200000,15.5300000,58662308
US1.BAC,D,04/02/10,00:00,15.3800000,15.4300000,14.7300000,14.7500000,83844200
US1.BAC,D,05/02/10,00:00,14.8400000,15.0600000,14.3100000,15.0000000,81783740
US1.BAC,D,06/02/10,00:00,15.0300000,15.0300000,15.0000000,15.0000000,4362185
US1.BAC,D,08/02/10,00:00,14.9400000,14.9600000,14.4500000,14.4800000,100440710
US1.BAC,D,09/02/10,00:00,14.6800000,14.7800000,14.2500000,14.4700000,89612948
US1.BAC,D,10/02/10,00:00,14.5200000,14.9100000,14.4700000,14.6700000,76036582
US1.BAC,D,11/02/10,00:00,14.6500000,14.7600000,14.5400000,14.6300000,64018511
US1.BAC,D,12/02/10,00:00,14.4700000,14.5400000,14.2900000,14.4500000,69186026
US1.BAC,D,13/02/10,00:00,14.5000000,14.5101000,14.4500000,14.4500000,10767426
US1.BAC,D,16/02/10,00:00,14.6600000,15.3100000,14.6200000,15.1600000,170026869
US1.BAC,D,17/02/10,00:00,15.3400000,15.6800000,15.2500000,15.6600000,124463416
US1.BAC,D,18/02/10,00:00,15.5300000,16.0000000,15.5000000,15.8800000,113691967
US1.BAC,D,19/02/10,00:00,15.7300000,16.0400000,15.7200000,15.8800000,102179292
US1.BAC,D,20/02/10,00:00,15.8600000,15.8800000,15.8400000,15.8800000,10549991
US1.BAC,D,22/02/10,00:00,15.9800000,16.4000000,15.9600000,16.2100000,104524016
US1.BAC,D,23/02/10,00:00,16.1200000,16.3800000,15.7900000,15.9400000,107989852
US1.BAC,D,24/02/10,00:00,15.9800000,16.3600000,15.9600000,16.3300000,102478823
US1.BAC,D,25/02/10,00:00,16.0800000,16.5600000,15.9500000,16.5500000,131604738
US1.BAC,D,26/02/10,00:00,16.5800000,16.8400000,16.4100000,16.6600000,189887423
US1.BAC,D,01/03/10,00:00,16.7500000,16.8600000,16.5700000,16.7100000,86000707
US1.BAC,D,02/03/10,00:00,16.6900000,16.8000000,16.3900000,16.4600000,104049285
US1.BAC,D,03/03/10,00:00,16.4700000,16.6200000,16.3300000,16.3700000,77033693
US1.BAC,D,04/03/10,00:00,16.4600000,16.5000000,16.0300000,16.4000000,64431913
US1.BAC,D,05/03/10,00:00,16.5300000,16.7500000,16.4500000,16.7000000,94186152
US1.BAC,D,08/03/10,00:00,16.7600000,16.9100000,16.6900000,16.7400000,70709201
US1.BAC,D,09/03/10,00:00,16.6500000,16.9900000,16.5400000,16.8000000,83279987
US1.BAC,D,10/03/10,00:00,17.0000000,17.3500000,16.9885000,17.1100000,98288166
US1.BAC,D,11/03/10,00:00,17.1800000,17.2800000,17.0600000,17.1200000,78680020
US1.BAC,D,12/03/10,00:00,17.2700000,17.3000000,16.6800000,16.8500000,153655564
US1.BAC,D,15/03/10,00:00,16.7300000,16.9100000,16.5900000,16.8500000,67035297
US1.BAC,D,16/03/10,00:00,16.9700000,17.0696000,16.9100000,17.0300000,51977571
US1.BAC,D,17/03/10,00:00,17.1700000,17.3000000,17.0250000,17.2700000,67978710
US1.BAC,D,18/03/10,00:00,17.2900000,17.3200000,16.9900000,17.0800000,57080414
US1.BAC,D,19/03/10,00:00,17.1150000,17.1500000,16.7400000,16.8200000,82781568
US1.BAC,D,22/03/10,00:00,16.6100000,16.9700000,16.6000000,16.9600000,64663435
US1.BAC,D,23/03/10,00:00,17.0800000,17.2200000,16.9500000,17.1300000,60897577
