<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.BA,D,04/01/10,00:00,55.4000000,56.3900000,54.8000000,56.1800000,3693117
US1.BA,D,05/01/10,00:00,56.2200000,58.2800000,56.0000000,58.0200000,5723977
US1.BA,D,06/01/10,00:00,57.8900000,59.9900000,57.8900000,59.7800000,5311382
US1.BA,D,07/01/10,00:00,59.0300000,62.3100000,59.0200000,62.2000000,8358612
US1.BA,D,08/01/10,00:00,61.4700000,61.7800000,60.8600000,61.6000000,4154396
US1.BA,D,11/01/10,00:00,62.0800000,62.0900000,60.5100000,60.8700000,3514683
US1.BA,D,12/01/10,00:00,60.2000000,61.1900000,59.9100000,60.4300000,2675248
US1.BA,D,13/01/10,00:00,60.4800000,61.7000000,60.3500000,61.1600000,2259613
US1.BA,D,14/01/10,00:00,61.2700000,61.5700000,60.7900000,61.5600000,1635091
US1.BA,D,15/01/10,00:00,61.4100000,61.5300000,60.2100000,60.8200000,2109487
US1.BA,D,19/01/10,00:00,60.5500000,61.0000000,59.9900000,60.6500000,2974563
US1.BA,D,20/01/10,00:00,60.5000000,60.5500000,58.5300000,60.2000000,2413795
US1.BA,D,21/01/10,00:00,60.4000000,61.2400000,58.9150000,59.1400000,1343183
US1.BA,D,22/01/10,00:00,58.5600000,59.1700000,57.7100000,57.7700000,1588122
US1.BA,D,25/01/10,00:00,58.3200000,58.7300000,57.5100000,57.7800000,1616992
US1.BA,D,26/01/10,00:00,57.6800000,58.5000000,57.2500000,57.7100000,2065125
US1.BA,D,27/01/10,00:00,59.0000000,62.0600000,59.0000000,61.9300000,5991041
US1.BA,D,28/01/10,00:00,61.9300000,62.9400000,61.3200000,62.5600000,3045166
US1.BA,D,29/01/10,00:00,62.7100000,62.9500000,60.3300000,60.6000000,2988518
US1.BA,D,01/02/10,00:00,60.9700000,61.8600000,60.7275000,61.7000000,4080401
US1.BA,D,02/02/10,00:00,61.3800000,62.0000000,61.0000000,61.9400000,3312145
US1.BA,D,03/02/10,00:00,61.4800000,61.8000000,60.8500000,61.4600000,2968264
US1.BA,D,04/02/10,00:00,60.9000000,60.9400000,59.2500000,59.3200000,3269531
US1.BA,D,05/02/10,00:00,59.3000000,59.7400000,57.1400000,58.4000000,2660171
US1.BA,D,08/02/10,00:00,58.1800000,58.9704000,57.8000000,57.8900000,2431032
US1.BA,D,09/02/10,00:00,58.4200000,60.4300000,58.4200000,59.7400000,3530066
US1.BA,D,10/02/10,00:00,59.7100000,60.0000000,58.9500000,59.5000000,1715467
US1.BA,D,11/02/10,00:00,59.7500000,60.7500000,58.9400000,60.5900000,2026979
US1.BA,D,12/02/10,00:00,59.7700000,59.8000000,58.9600000,59.6500000,2468368
US1.BA,D,16/02/10,00:00,60.3900000,61.2900000,59.9000000,61.2600000,3430210
US1.BA,D,17/02/10,00:00,61.1100000,62.0000000,61.0400000,61.8200000,2146679
US1.BA,D,18/02/10,00:00,61.7300000,63.0000000,61.7300000,62.8900000,2253733
US1.BA,D,19/02/10,00:00,62.8400000,64.3400000,62.7600000,63.5900000,4115126
US1.BA,D,22/02/10,00:00,63.6000000,64.4700000,63.2100000,63.9600000,4002859
US1.BA,D,23/02/10,00:00,63.5700000,64.1700000,62.2600000,62.7700000,3370983
US1.BA,D,24/02/10,00:00,62.9900000,63.7000000,62.6500000,63.4800000,1654673
US1.BA,D,25/02/10,00:00,62.7400000,62.9500000,62.0000000,62.8700000,2068333
US1.BA,D,26/02/10,00:00,63.2500000,63.8700000,63.0400000,63.1600000,1954843
US1.BA,D,01/03/10,00:00,63.1700000,64.3300000,63.0500000,64.0000000,3078030
US1.BA,D,02/03/10,00:00,64.6400000,65.3300000,64.3600000,64.4400000,2187034
US1.BA,D,03/03/10,00:00,64.7200000,64.9500000,64.0500000,64.4400000,2084325
US1.BA,D,04/03/10,00:00,64.8900000,65.8000000,64.8500000,65.5500000,3024775
US1.BA,D,05/03/10,00:00,66.0300000,68.0400000,66.0300000,67.9300000,5213725
US1.BA,D,08/03/10,00:00,67.9900000,68.0000000,67.1300000,67.2300000,3193449
US1.BA,D,09/03/10,00:00,67.5200000,68.3400000,67.3700000,67.7900000,4114690
US1.BA,D,10/03/10,00:00,68.1800000,70.4800000,68.1101000,70.0100000,5823059
US1.BA,D,11/03/10,00:00,70.0200000,70.4300000,69.1500000,70.0700000,4276653
US1.BA,D,12/03/10,00:00,70.3800000,70.4200000,69.2500000,69.8300000,3039522
US1.BA,D,15/03/10,00:00,69.5600000,69.7700000,68.5200000,69.4000000,4438302
US1.BA,D,16/03/10,00:00,69.0900000,69.3000000,68.3100000,68.7200000,3859703
US1.BA,D,17/03/10,00:00,68.9100000,69.4900000,68.2900000,69.3800000,3206482
US1.BA,D,18/03/10,00:00,69.3800000,70.9300000,69.1900000,70.8700000,4043096
US1.BA,D,19/03/10,00:00,72.9200000,73.3000000,70.7200000,70.7200000,8299561
US1.BA,D,22/03/10,00:00,71.6400000,72.6200000,71.5200000,71.9100000,4614185
US1.BA,D,23/03/10,00:00,72.5400000,72.6000000,71.5100000,72.2100000,2373898
US1.BA,D,24/03/10,00:00,72.4200000,73.2000000,71.7800000,72.3100000,4211342
US1.BA,D,25/03/10,00:00,72.6200000,73.4300000,72.4100000,72.4900000,2248980
US1.BA,D,26/03/10,00:00,72.6400000,72.9900000,72.3600000,72.5900000,2314160
US1.BA,D,29/03/10,00:00,73.0000000,74.5300000,73.0000000,74.1100000,5922098
US1.BA,D,30/03/10,00:00,73.9200000,74.1700000,72.7000000,73.5300000,2338517
US1.BA,D,31/03/10,00:00,72.9400000,73.0600000,71.9500000,72.6000000,2915730
US1.BA,D,01/04/10,00:00,73.2500000,73.5000000,72.3000000,72.9200000,2041460
US1.BA,D,05/04/10,00:00,72.9900000,73.0200000,70.9500000,72.0400000,7161402
US1.BA,D,06/04/10,00:00,71.8400000,73.1800000,71.7700000,72.3600000,3296271
US1.BA,D,07/04/10,00:00,72.0600000,72.5200000,71.4700000,72.1100000,3308228
US1.BA,D,08/04/10,00:00,71.7600000,72.4600000,71.2200000,72.2800000,2038371
US1.BA,D,09/04/10,00:00,72.3500000,72.6600000,71.8100000,72.4200000,1975138
US1.BA,D,12/04/10,00:00,72.2700000,72.5700000,71.8000000,71.9200000,2340112
US1.BA,D,13/04/10,00:00,71.6700000,71.6900000,70.5000000,71.1900000,2688386
US1.BA,D,14/04/10,00:00,70.9400000,71.7599000,70.8100000,71.7000000,1804945
US1.BA,D,15/04/10,00:00,71.4800000,72.6100000,71.4700000,72.0900000,1641019
US1.BA,D,16/04/10,00:00,71.8700000,71.9800000,69.8800000,70.7900000,2639589
US1.BA,D,19/04/10,00:00,70.5100000,71.2800000,70.1600000,70.9000000,1702650
US1.BA,D,20/04/10,00:00,71.5500000,71.9800000,70.9500000,71.4100000,2483391
US1.BA,D,21/04/10,00:00,72.0000000,74.6500000,71.8100000,74.1600000,5523823
US1.BA,D,22/04/10,00:00,74.4800000,76.0000000,73.6900000,75.5900000,3815619
US1.BA,D,23/04/10,00:00,75.0200000,75.6750000,74.5500000,75.1100000,2486942
US1.BA,D,26/04/10,00:00,74.9000000,75.2800000,74.1500000,74.3400000,2297892
US1.BA,D,27/04/10,00:00,74.5000000,74.9300000,72.2400000,72.4700000,1687995
US1.BA,D,28/04/10,00:00,72.7800000,72.8400000,71.3500000,72.3700000,1910413
US1.BA,D,29/04/10,00:00,72.7800000,73.9900000,72.7800000,73.7900000,2807817
US1.BA,D,30/04/10,00:00,73.9300000,74.4600000,72.2600000,72.4300000,2067764
US1.BA,D,03/05/10,00:00,72.5600000,74.7000000,72.5600000,74.3900000,3037875
US1.BA,D,04/05/10,00:00,73.1700000,73.3500000,72.2300000,72.7900000,2031377
US1.BA,D,05/05/10,00:00,71.7300000,71.9600000,70.4421000,71.0000000,1556337
US1.BA,D,06/05/10,00:00,70.8500000,71.4800000,62.0000000,67.9700000,2098987
US1.BA,D,07/05/10,00:00,68.0400000,69.1200000,65.8400000,66.7200000,1602924
US1.BA,D,10/05/10,00:00,69.8500000,71.7300000,69.8400000,71.0000000,2522669
US1.BA,D,11/05/10,00:00,70.3100000,72.6600000,70.1400000,71.4200000,2086346
