<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.CAT,D,04/01/10,00:00,57.5600000,59.1900000,57.5100000,58.5500000,4519565
US1.CAT,D,05/01/10,00:00,58.4700000,59.4400000,58.2300000,59.2500000,3369280
US1.CAT,D,06/01/10,00:00,59.0505000,59.9300000,59.0505000,59.4300000,2565377
US1.CAT,D,07/01/10,00:00,59.1600000,59.9000000,58.6600000,59.6700000,2784606
US1.CAT,D,08/01/10,00:00,59.3300000,60.3700000,59.3300000,60.3400000,4032639
US1.CAT,D,11/01/10,00:00,60.9000000,64.4200000,60.8801000,64.1300000,14066177
US1.CAT,D,12/01/10,00:00,63.0100000,63.1500000,61.2000000,62.2400000,6357676
US1.CAT,D,13/01/10,00:00,62.3600000,62.7750000,61.3800000,62.3300000,3887776
US1.CAT,D,14/01/10,00:00,62.3300000,62.8000000,61.7500000,61.9800000,3127367
US1.CAT,D,15/01/10,00:00,61.5700000,61.6700000,60.0100000,60.1200000,4162632
US1.CAT,D,19/01/10,00:00,59.8200000,61.2000000,59.3600000,60.9300000,3963344
US1.CAT,D,20/01/10,00:00,60.3700000,60.3700000,59.3100000,59.7600000,2999489
US1.CAT,D,21/01/10,00:00,59.4700000,59.8600000,56.7400000,56.8500000,4191188
US1.CAT,D,22/01/10,00:00,56.6000000,57.5300000,54.0300000,54.2500000,3910627
US1.CAT,D,25/01/10,00:00,55.0300000,56.1601000,54.8300000,55.1400000,4476809
US1.CAT,D,26/01/10,00:00,55.0000000,56.9400000,54.6000000,55.8500000,6786191
US1.CAT,D,27/01/10,00:00,52.8000000,53.8230000,51.1100000,53.4400000,12054030
US1.CAT,D,28/01/10,00:00,53.8000000,53.8000000,51.2100000,51.8600000,5139813
US1.CAT,D,29/01/10,00:00,52.6100000,53.7800000,52.0000000,52.2400000,4689097
US1.CAT,D,01/02/10,00:00,52.8700000,53.5000000,52.5000000,52.9400000,4042565
US1.CAT,D,02/02/10,00:00,53.2900000,53.7200000,52.6200000,53.5500000,3329444
US1.CAT,D,03/02/10,00:00,53.1900000,53.9900000,53.1822000,53.3900000,3186421
US1.CAT,D,04/02/10,00:00,52.7200000,52.8600000,51.3800000,51.4000000,3865128
US1.CAT,D,05/02/10,00:00,51.3800000,51.9800000,50.6900000,51.7500000,4454597
US1.CAT,D,08/02/10,00:00,51.5400000,52.1500000,50.5000000,50.7800000,3624305
US1.CAT,D,09/02/10,00:00,52.6050000,54.2500000,52.5800000,53.5300000,5160455
US1.CAT,D,10/02/10,00:00,53.6500000,54.0500000,52.4600000,53.1500000,3374329
US1.CAT,D,11/02/10,00:00,53.0600000,56.2700000,52.6700000,56.1500000,8874848
US1.CAT,D,12/02/10,00:00,55.0100000,56.5400000,54.6200000,56.2000000,5640027
US1.CAT,D,16/02/10,00:00,56.7300000,57.2300000,56.1900000,57.1200000,5957164
US1.CAT,D,17/02/10,00:00,58.2500000,58.3500000,57.2200000,57.5000000,4055204
US1.CAT,D,18/02/10,00:00,57.1000000,58.0500000,57.0500000,57.8100000,2995435
US1.CAT,D,19/02/10,00:00,57.5500000,58.4800000,57.3100000,58.2500000,3780343
US1.CAT,D,22/02/10,00:00,58.7200000,58.9700000,58.0000000,58.0300000,3735541
US1.CAT,D,23/02/10,00:00,58.0800000,58.3800000,56.2200000,56.6600000,5090041
US1.CAT,D,24/02/10,00:00,56.6700000,57.4500000,56.4700000,56.9600000,2428593
US1.CAT,D,25/02/10,00:00,55.1000000,57.0200000,54.2100000,56.8000000,3271397
US1.CAT,D,26/02/10,00:00,56.8800000,57.2400000,56.1000000,57.0500000,2946294
US1.CAT,D,01/03/10,00:00,57.4500000,58.3799000,57.3675000,57.8500000,4918714
US1.CAT,D,02/03/10,00:00,58.3500000,58.8101000,58.0300000,58.1500000,3138534
US1.CAT,D,03/03/10,00:00,58.4800000,59.9200000,58.4400000,58.5700000,4516063
US1.CAT,D,04/03/10,00:00,58.5900000,58.9900000,57.8300000,58.4500000,2978832
US1.CAT,D,05/03/10,00:00,59.2300000,59.5800000,58.9000000,59.2300000,3276570
US1.CAT,D,08/03/10,00:00,59.4000000,59.4600000,58.5678000,58.9100000,2966739
US1.CAT,D,09/03/10,00:00,58.4900000,59.7101000,58.4200000,59.1800000,4540554
US1.CAT,D,10/03/10,00:00,59.1600000,59.4900000,58.4300000,58.7800000,2923021
US1.CAT,D,11/03/10,00:00,58.7700000,58.9800000,57.9250000,58.9000000,3909631
US1.CAT,D,12/03/10,00:00,59.5100000,60.4900000,59.3622000,60.3600000,5158197
US1.CAT,D,15/03/10,00:00,60.1600000,60.2300000,58.3800000,59.4700000,4238490
US1.CAT,D,16/03/10,00:00,59.6400000,59.6800000,58.8400000,59.4500000,3391329
US1.CAT,D,17/03/10,00:00,59.7900000,60.5000000,59.4935000,60.2200000,4337149
US1.CAT,D,18/03/10,00:00,59.7000000,60.3900000,59.3387000,59.7700000,3259019
US1.CAT,D,19/03/10,00:00,60.2000000,60.3100000,58.9600000,59.3700000,5114279
US1.CAT,D,22/03/10,00:00,58.7400000,60.2700000,58.6700000,59.9500000,4253669
US1.CAT,D,23/03/10,00:00,60.1000000,62.5100000,60.0400000,62.4100000,7359199
US1.CAT,D,24/03/10,00:00,62.0000000,62.5400000,61.4200000,62.0600000,5808786
US1.CAT,D,25/03/10,00:00,62.7000000,63.7100000,62.0500000,62.1400000,4749073
US1.CAT,D,26/03/10,00:00,62.2900000,63.1800000,62.0000000,62.4400000,4148876
US1.CAT,D,29/03/10,00:00,62.9000000,63.6000000,62.8000000,63.4800000,4298808
US1.CAT,D,30/03/10,00:00,63.4300000,63.6000000,62.8200000,63.1600000,3354833
US1.CAT,D,31/03/10,00:00,62.9400000,63.5000000,62.6300000,62.8500000,3430286
US1.CAT,D,01/04/10,00:00,63.4200000,64.1900000,63.3000000,63.9900000,4212885
US1.CAT,D,05/04/10,00:00,64.3900000,65.0000000,64.2000000,64.9900000,4403051
US1.CAT,D,06/04/10,00:00,64.8100000,65.4700000,64.5700000,65.2900000,4061105
US1.CAT,D,07/04/10,00:00,65.1900000,65.3800000,64.0000000,64.4700000,3089181
US1.CAT,D,08/04/10,00:00,64.0000000,64.6500000,63.5500000,64.4800000,2831340
US1.CAT,D,09/04/10,00:00,64.8900000,65.5100000,64.8200000,65.2700000,3274701
US1.CAT,D,12/04/10,00:00,65.9400000,67.0000000,65.7600000,66.7300000,8239515
US1.CAT,D,13/04/10,00:00,66.8300000,67.2500000,66.1700000,66.1900000,3965442
US1.CAT,D,14/04/10,00:00,66.3500000,67.3700000,66.2100000,67.2800000,2727317
US1.CAT,D,15/04/10,00:00,67.3700000,68.7100000,67.3600000,68.2200000,3562367
US1.CAT,D,16/04/10,00:00,68.0300000,68.2300000,66.3499000,66.8800000,3197295
US1.CAT,D,19/04/10,00:00,66.6500000,67.7000000,65.7800000,66.9900000,3443531
