<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.CVX,D,01/01/10,00:00,76.9800000,76.9900000,76.9300000,76.9900000,795500
US1.CVX,D,04/01/10,00:00,78.3300000,79.2000000,78.1600000,79.0600000,6413856
US1.CVX,D,05/01/10,00:00,79.3000000,79.6200000,78.7400000,79.6200000,6222059
US1.CVX,D,06/01/10,00:00,79.4600000,80.0000000,79.2100000,79.6300000,6715901
US1.CVX,D,07/01/10,00:00,79.2400000,79.7000000,78.9700000,79.3300000,5618554
US1.CVX,D,08/01/10,00:00,79.1200000,79.4700000,78.9000000,79.4700000,3194357
US1.CVX,D,09/01/10,00:00,79.4100000,79.4700000,79.4100000,79.4700000,246400
US1.CVX,D,11/01/10,00:00,80.3300000,81.0900000,80.1200000,80.8800000,6960643
US1.CVX,D,12/01/10,00:00,79.5200000,80.4500000,79.4900000,80.3500000,5245267
US1.CVX,D,13/01/10,00:00,80.3600000,80.3600000,79.1500000,79.8000000,5198700
US1.CVX,D,14/01/10,00:00,79.6120000,79.8000000,79.1500000,79.5500000,3947013
US1.CVX,D,15/01/10,00:00,79.5500000,79.6900000,78.2800000,79.2300000,6176602
US1.CVX,D,16/01/10,00:00,79.1300000,79.2300000,79.1000000,79.2300000,1830904
US1.CVX,D,19/01/10,00:00,78.9400000,79.7500000,78.5700000,79.6800000,4408079
US1.CVX,D,20/01/10,00:00,78.7800000,78.8900000,77.6500000,78.1700000,3543724
US1.CVX,D,21/01/10,00:00,77.9980000,78.1400000,76.0600000,76.2400000,3873635
US1.CVX,D,22/01/10,00:00,75.8900000,76.5600000,74.4300000,74.5900000,4463132
US1.CVX,D,23/01/10,00:00,74.5500000,74.5900000,74.5200000,74.5900000,775485
US1.CVX,D,25/01/10,00:00,74.9900000,75.2500000,74.1000000,74.5500000,4159892
US1.CVX,D,26/01/10,00:00,74.0800000,74.8800000,73.7900000,74.1500000,4323170
US1.CVX,D,27/01/10,00:00,74.0000000,74.3600000,73.1400000,73.7000000,5204459
US1.CVX,D,28/01/10,00:00,74.1200000,74.1800000,72.3200000,73.2400000,5289323
US1.CVX,D,29/01/10,00:00,73.3400000,74.0700000,71.7700000,72.1200000,5232645
US1.CVX,D,30/01/10,00:00,72.0700000,72.1200000,72.0200000,72.1200000,1154600
US1.CVX,D,01/02/10,00:00,72.5600000,73.7400000,72.1500000,73.5800000,5825313
US1.CVX,D,02/02/10,00:00,73.7100000,74.5700000,73.0000000,74.4500000,5179737
US1.CVX,D,03/02/10,00:00,74.1600000,74.3600000,73.0500000,73.2100000,8184030
US1.CVX,D,04/02/10,00:00,72.7000000,72.7200000,71.0900000,71.3700000,4678271
US1.CVX,D,05/02/10,00:00,71.0800000,71.2300000,69.5600000,71.1800000,5187540
US1.CVX,D,06/02/10,00:00,71.2200000,71.2300000,71.1700000,71.1800000,536300
US1.CVX,D,08/02/10,00:00,71.1100000,71.4316000,70.1300000,70.1300000,5205318
US1.CVX,D,09/02/10,00:00,70.9600000,72.0200000,70.8200000,71.3100000,4101244
US1.CVX,D,10/02/10,00:00,71.0000000,71.2100000,70.0100000,70.7500000,5050674
US1.CVX,D,11/02/10,00:00,70.6600000,72.1000000,70.3100000,71.7300000,5200732
US1.CVX,D,12/02/10,00:00,70.4100000,71.3000000,70.2200000,71.0100000,6378373
US1.CVX,D,13/02/10,00:00,71.2300000,71.2600000,71.0100000,71.0100000,2006569
US1.CVX,D,16/02/10,00:00,72.0000000,73.3200000,71.9500000,72.9900000,11857244
US1.CVX,D,17/02/10,00:00,73.2300000,73.4200000,72.4700000,72.8400000,4275384
US1.CVX,D,18/02/10,00:00,72.8500000,73.7200000,72.3500000,73.6200000,4693257
US1.CVX,D,19/02/10,00:00,73.3900000,74.3750000,73.2150000,74.0500000,7339513
US1.CVX,D,20/02/10,00:00,74.1000000,74.1000000,74.0500000,74.0500000,550900
US1.CVX,D,22/02/10,00:00,74.0700000,74.2000000,72.7900000,72.9600000,4426646
US1.CVX,D,23/02/10,00:00,72.6100000,72.9200000,71.7700000,72.0400000,4968303
US1.CVX,D,24/02/10,00:00,72.1900000,72.4500000,71.6200000,72.3400000,3419759
US1.CVX,D,25/02/10,00:00,71.1800000,72.1900000,70.7800000,72.1100000,4357027
US1.CVX,D,26/02/10,00:00,72.0500000,72.6900000,71.8400000,72.3000000,4759018
US1.CVX,D,01/03/10,00:00,72.7100000,73.1800000,72.3900000,72.8100000,4087448
US1.CVX,D,02/03/10,00:00,73.0700000,73.9100000,73.0500000,73.3200000,4461152
US1.CVX,D,03/03/10,00:00,73.5600000,73.8400000,73.0600000,73.0900000,3698707
US1.CVX,D,04/03/10,00:00,73.1100000,73.4900000,72.7100000,73.0800000,5597004
US1.CVX,D,05/03/10,00:00,73.5700000,74.4700000,73.5500000,74.3000000,4636787
US1.CVX,D,08/03/10,00:00,74.5300000,74.8800000,74.1500000,74.6400000,3785355
US1.CVX,D,09/03/10,00:00,74.3200000,74.9100000,74.0000000,74.3000000,4075589
US1.CVX,D,10/03/10,00:00,74.1500000,74.3300000,73.2700000,73.9600000,6639501
US1.CVX,D,11/03/10,00:00,74.0600000,74.0700000,73.5600000,73.9900000,3959478
US1.CVX,D,12/03/10,00:00,74.1300000,74.2000000,73.5100000,73.7200000,4635105
US1.CVX,D,15/03/10,00:00,73.6000000,73.6200000,72.8500000,73.5700000,4904390
US1.CVX,D,16/03/10,00:00,73.8100000,74.1200000,73.4100000,73.9800000,5525789
US1.CVX,D,17/03/10,00:00,74.2000000,75.0600000,74.1600000,74.6700000,4971257
US1.CVX,D,18/03/10,00:00,74.7500000,75.0700000,74.2400000,74.7600000,4437849
US1.CVX,D,19/03/10,00:00,75.0600000,75.0800000,73.9000000,74.6600000,4128869
US1.CVX,D,22/03/10,00:00,74.2000000,74.8800000,74.0000000,74.4600000,5054017
US1.CVX,D,23/03/10,00:00,74.4300000,74.7900000,74.0300000,74.7400000,2798084
US1.CVX,D,24/03/10,00:00,74.2400000,74.5000000,73.7800000,73.9300000,4496752
US1.CVX,D,25/03/10,00:00,74.4700000,74.6223000,73.6900000,73.8000000,4457686
US1.CVX,D,26/03/10,00:00,74.0000000,74.8800000,73.8300000,74.4300000,5149529
US1.CVX,D,29/03/10,00:00,74.5700000,75.4400000,74.4900000,75.2300000,5137562
