<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.C,D,04/01/10,00:00,3.3600000,3.4100000,3.3400000,3.4000000,250568282
US1.C,D,05/01/10,00:00,3.4100000,3.5500000,3.4100000,3.5300000,426939863
US1.C,D,06/01/10,00:00,3.5600000,3.6800000,3.5100000,3.6400000,390406033
US1.C,D,07/01/10,00:00,3.6900000,3.7000000,3.6100000,3.6500000,349874718
US1.C,D,08/01/10,00:00,3.6500000,3.6700000,3.5100000,3.5900000,360716598
US1.C,D,11/01/10,00:00,3.6600000,3.6700000,3.6000000,3.6300000,259044437
US1.C,D,12/01/10,00:00,3.6000000,3.6000000,3.4800000,3.5200000,219101359
US1.C,D,13/01/10,00:00,3.5500000,3.5800000,3.5000000,3.5000000,198209804
US1.C,D,14/01/10,00:00,3.5100000,3.5500000,3.5000000,3.5100000,144328972
US1.C,D,15/01/10,00:00,3.5000000,3.5000000,3.4000000,3.4200000,219518219
US1.C,D,19/01/10,00:00,3.3500000,3.5600000,3.3000000,3.5400000,357287955
US1.C,D,20/01/10,00:00,3.5150000,3.6000000,3.4500000,3.4600000,155047060
US1.C,D,21/01/10,00:00,3.4500000,3.4600000,3.2000000,3.2700000,297966335
US1.C,D,22/01/10,00:00,3.2700000,3.3900000,3.2200000,3.2500000,223592155
US1.C,D,25/01/10,00:00,3.3200000,3.3300000,3.2100000,3.2300000,229009110
US1.C,D,26/01/10,00:00,3.2200000,3.2700000,3.1500000,3.1500000,207696958
US1.C,D,27/01/10,00:00,3.1800000,3.2300000,3.1400000,3.2000000,219941622
US1.C,D,28/01/10,00:00,3.2500000,3.2900000,3.2000000,3.2400000,158345398
US1.C,D,29/01/10,00:00,3.2800000,3.3400000,3.2700000,3.3000000,187275228
US1.C,D,01/02/10,00:00,3.3500000,3.3700000,3.3100000,3.3400000,104600374
US1.C,D,02/02/10,00:00,3.3500000,3.4100000,3.3200000,3.4100000,154084642
US1.C,D,03/02/10,00:00,3.3900000,3.4600000,3.3700000,3.3700000,113815364
US1.C,D,04/02/10,00:00,3.3500000,3.3500000,3.1700000,3.1800000,158841569
US1.C,D,05/02/10,00:00,3.2100000,3.2400000,3.1500000,3.2200000,124819880
US1.C,D,08/02/10,00:00,3.2400000,3.2400000,3.1500000,3.1500000,105992268
US1.C,D,09/02/10,00:00,3.2000000,3.2300000,3.1100000,3.1800000,151880173
US1.C,D,10/02/10,00:00,3.1800000,3.2000000,3.1400000,3.2000000,86891698
US1.C,D,11/02/10,00:00,3.1800000,3.2200000,3.1700000,3.2100000,76594471
US1.C,D,12/02/10,00:00,3.1700000,3.2100000,3.1500000,3.1800000,76079158
US1.C,D,16/02/10,00:00,3.2200000,3.3300000,3.2100000,3.3100000,240986205
US1.C,D,17/02/10,00:00,3.3900000,3.4500000,3.3600000,3.4100000,248524175
US1.C,D,18/02/10,00:00,3.4000000,3.4700000,3.3900000,3.4300000,138111262
US1.C,D,19/02/10,00:00,3.4000000,3.4400000,3.3900000,3.4200000,105935026
US1.C,D,22/02/10,00:00,3.4400000,3.4800000,3.4100000,3.4600000,146878007
US1.C,D,23/02/10,00:00,3.4500000,3.4800000,3.3500000,3.3500000,123364463
US1.C,D,24/02/10,00:00,3.3800000,3.4500000,3.3700000,3.4500000,132600514
US1.C,D,25/02/10,00:00,3.4000000,3.4000000,3.3600000,3.3900000,113509113
US1.C,D,26/02/10,00:00,3.3900000,3.4500000,3.3900000,3.4000000,81471702
US1.C,D,01/03/10,00:00,3.4200000,3.4400000,3.3443000,3.3900000,81605218
US1.C,D,02/03/10,00:00,3.4000000,3.4400000,3.3900000,3.4000000,72029574
US1.C,D,03/03/10,00:00,3.4100000,3.4300000,3.3900000,3.4000000,68687893
US1.C,D,04/03/10,00:00,3.4000000,3.4800000,3.3900000,3.4300000,194284599
US1.C,D,05/03/10,00:00,3.4700000,3.5000000,3.4500000,3.5000000,170758439
US1.C,D,08/03/10,00:00,3.5400000,3.6000000,3.5400000,3.5600000,239649529
