<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.DIS,D,04/01/10,00:00,32.4300000,32.7500000,31.8700000,32.0700000,8783211
US1.DIS,D,05/01/10,00:00,32.0000000,32.1600000,31.7100000,31.9900000,6099548
US1.DIS,D,06/01/10,00:00,31.9000000,32.0000000,31.6800000,31.8200000,6033442
US1.DIS,D,07/01/10,00:00,31.7900000,31.8600000,31.5400000,31.8300000,4506414
US1.DIS,D,08/01/10,00:00,31.6100000,31.9300000,31.5300000,31.8800000,4607587
US1.DIS,D,11/01/10,00:00,31.5000000,31.7300000,31.0900000,31.3600000,6462608
US1.DIS,D,12/01/10,00:00,31.0300000,31.1200000,30.6800000,30.8200000,6140994
US1.DIS,D,13/01/10,00:00,30.9400000,31.3700000,30.8800000,31.2900000,4729459
US1.DIS,D,14/01/10,00:00,31.0800000,31.1800000,30.9600000,31.0200000,5065900
US1.DIS,D,15/01/10,00:00,31.0600000,31.1500000,30.4100000,30.6000000,5786053
US1.DIS,D,19/01/10,00:00,30.5900000,31.1850000,30.5100000,31.0100000,5433757
US1.DIS,D,20/01/10,00:00,31.0100000,31.2300000,30.7200000,31.1900000,5903422
US1.DIS,D,21/01/10,00:00,31.0800000,31.4200000,30.5700000,30.6100000,4395328
US1.DIS,D,22/01/10,00:00,30.5300000,30.7100000,29.9500000,29.9800000,4711354
US1.DIS,D,25/01/10,00:00,30.1600000,30.2100000,29.5600000,29.9200000,5004748
US1.DIS,D,26/01/10,00:00,29.8675000,29.9400000,29.3400000,29.6600000,4142984
US1.DIS,D,27/01/10,00:00,29.5100000,29.8100000,29.0100000,29.3200000,6778606
US1.DIS,D,28/01/10,00:00,29.4300000,29.4700000,28.7200000,29.3500000,6181433
US1.DIS,D,29/01/10,00:00,29.3700000,29.8200000,29.2500000,29.5500000,4615744
US1.DIS,D,01/02/10,00:00,29.6200000,29.7500000,29.3425000,29.5200000,11021361
US1.DIS,D,02/02/10,00:00,29.5400000,30.0100000,29.2250000,29.9800000,4538365
US1.DIS,D,03/02/10,00:00,29.8200000,30.8700000,29.7900000,30.7500000,8765257
US1.DIS,D,04/02/10,00:00,30.2100000,30.4850000,29.6600000,29.6700000,4408170
US1.DIS,D,05/02/10,00:00,29.7900000,29.8400000,29.0000000,29.5400000,3038972
US1.DIS,D,08/02/10,00:00,29.6000000,29.9500000,29.4600000,29.4800000,4866862
US1.DIS,D,09/02/10,00:00,29.7750000,30.0400000,29.4800000,29.8400000,4718079
US1.DIS,D,10/02/10,00:00,29.2300000,30.0900000,29.0300000,30.0300000,11373917
US1.DIS,D,11/02/10,00:00,29.8200000,30.4200000,29.7600000,30.1790000,4508883
US1.DIS,D,12/02/10,00:00,29.9100000,30.2000000,29.8700000,30.0700000,5120694
US1.DIS,D,16/02/10,00:00,30.2600000,30.5000000,30.1700000,30.4700000,7394329
US1.DIS,D,17/02/10,00:00,30.5000000,30.9300000,30.4000000,30.8600000,5102041
US1.DIS,D,18/02/10,00:00,30.9000000,31.0700000,30.6900000,31.0200000,3821578
US1.DIS,D,19/02/10,00:00,31.0000000,31.5200000,30.8800000,31.2300000,6620100
US1.DIS,D,22/02/10,00:00,31.3500000,31.4700000,31.0600000,31.1200000,5103713
US1.DIS,D,23/02/10,00:00,30.9900000,31.2600000,30.8600000,30.9200000,3962544
US1.DIS,D,24/02/10,00:00,31.0200000,31.5000000,31.0100000,31.3900000,5019455
US1.DIS,D,25/02/10,00:00,30.8800000,31.4100000,30.8600000,31.3600000,3733276
US1.DIS,D,26/02/10,00:00,31.3600000,31.4100000,30.9800000,31.2400000,7687092
US1.DIS,D,01/03/10,00:00,31.4100000,31.6000000,31.3400000,31.5400000,5059927
US1.DIS,D,02/03/10,00:00,31.4200000,31.9200000,31.3900000,31.8800000,7214692
US1.DIS,D,03/03/10,00:00,31.9400000,31.9600000,31.5500000,31.6400000,5528091
US1.DIS,D,04/03/10,00:00,32.0100000,32.8600000,31.9200000,32.5700000,12172134
US1.DIS,D,05/03/10,00:00,32.8000000,33.2200000,32.7900000,33.2200000,9016570
US1.DIS,D,08/03/10,00:00,32.9900000,33.4900000,32.9600000,33.1900000,7357898
US1.DIS,D,09/03/10,00:00,32.9600000,33.3300000,32.7900000,33.3100000,5803953
US1.DIS,D,10/03/10,00:00,33.1100000,33.6000000,33.1100000,33.3300000,4627580
US1.DIS,D,11/03/10,00:00,33.3289000,33.8100000,33.1300000,33.8100000,6999662
US1.DIS,D,12/03/10,00:00,33.8020000,33.8100000,33.4700000,33.6900000,5293211
US1.DIS,D,15/03/10,00:00,33.5000000,33.7500000,33.3600000,33.7200000,4681473
US1.DIS,D,16/03/10,00:00,33.7500000,33.8300000,33.4900000,33.7500000,4716889
US1.DIS,D,17/03/10,00:00,33.7600000,33.8400000,33.5300000,33.7500000,4207426
US1.DIS,D,18/03/10,00:00,33.6800000,33.8500000,33.5200000,33.7800000,3635854
US1.DIS,D,19/03/10,00:00,33.8700000,33.9800000,33.4800000,33.6400000,6528563
US1.DIS,D,22/03/10,00:00,33.4501000,34.1900000,33.4400000,33.9500000,6884969
US1.DIS,D,23/03/10,00:00,34.0600000,34.0600000,33.7300000,34.0100000,3290354
US1.DIS,D,24/03/10,00:00,33.9300000,34.4300000,33.8800000,34.3900000,6068319
US1.DIS,D,25/03/10,00:00,34.4500000,35.5000000,34.4200000,35.1100000,13170576
US1.DIS,D,26/03/10,00:00,34.9100000,35.6000000,34.9000000,35.3100000,11746271
US1.DIS,D,29/03/10,00:00,35.2900000,35.4105000,34.9700000,35.1600000,7739991
US1.DIS,D,30/03/10,00:00,35.1600000,35.2000000,34.7600000,35.1000000,7496576
US1.DIS,D,31/03/10,00:00,35.0700000,35.2000000,34.8100000,34.9100000,5665281
US1.DIS,D,01/04/10,00:00,35.1200000,35.5500000,35.0100000,35.5500000,8797284
US1.DIS,D,05/04/10,00:00,35.2900000,35.5400000,35.0700000,35.2200000,7236644
US1.DIS,D,06/04/10,00:00,35.2400000,35.6100000,35.1000000,35.4700000,8234527
US1.DIS,D,07/04/10,00:00,35.3300000,35.4900000,35.0700000,35.3200000,3764638
US1.DIS,D,08/04/10,00:00,35.2500000,35.7500000,35.1400000,35.6700000,5691566
US1.DIS,D,09/04/10,00:00,35.7900000,36.8800000,35.6400000,36.2200000,14182643
US1.DIS,D,12/04/10,00:00,36.1500000,36.3300000,35.8000000,35.8900000,6793070
US1.DIS,D,13/04/10,00:00,35.8900000,36.0600000,35.7100000,35.8400000,6091592
US1.DIS,D,14/04/10,00:00,35.8600000,36.2100000,35.7700000,36.2000000,4492366
US1.DIS,D,15/04/10,00:00,36.0200000,36.5100000,35.8600000,36.4000000,5337072
US1.DIS,D,16/04/10,00:00,36.3500000,36.5100000,35.6900000,35.8300000,3661727
US1.DIS,D,19/04/10,00:00,35.8900000,36.1700000,35.5800000,36.1700000,4363160
US1.DIS,D,20/04/10,00:00,36.4200000,36.6500000,36.3200000,36.5400000,10774760
US1.DIS,D,21/04/10,00:00,36.4700000,36.7500000,36.3500000,36.5600000,4213879
US1.DIS,D,22/04/10,00:00,36.2600000,36.8700000,36.1200000,36.7800000,4804573
US1.DIS,D,23/04/10,00:00,36.8000000,36.8100000,36.5000000,36.7900000,3922197
