<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.GE,D,04/01/10,00:00,15.2200000,15.6400000,15.1500000,15.4500000,40860021
US1.GE,D,05/01/10,00:00,15.4600000,15.6700000,15.4500000,15.5300000,40889489
US1.GE,D,06/01/10,00:00,15.5300000,15.6200000,15.4400000,15.4500000,33094462
US1.GE,D,07/01/10,00:00,15.4500000,16.5600000,15.4300000,16.2500000,127749456
US1.GE,D,08/01/10,00:00,16.3200000,16.6900000,16.2700000,16.6000000,65127696
US1.GE,D,11/01/10,00:00,16.8600000,16.8700000,16.5400000,16.7600000,43059988
US1.GE,D,12/01/10,00:00,16.5900000,16.8350000,16.5800000,16.7700000,31786579
US1.GE,D,13/01/10,00:00,16.7600000,16.9200000,16.5700000,16.8300000,33860537
US1.GE,D,14/01/10,00:00,16.8125000,16.8700000,16.6800000,16.7000000,29934676
US1.GE,D,15/01/10,00:00,16.6800000,16.7500000,16.3500000,16.4400000,29766554
US1.GE,D,19/01/10,00:00,16.3500000,16.7500000,16.3400000,16.5400000,29122910
US1.GE,D,20/01/10,00:00,16.5050000,16.6817000,16.3300000,16.5000000,26389550
US1.GE,D,21/01/10,00:00,16.4500000,16.4700000,15.9500000,16.0200000,25755144
US1.GE,D,22/01/10,00:00,16.5100000,16.7500000,16.0900000,16.1100000,45528217
US1.GE,D,25/01/10,00:00,16.4900000,16.5300000,16.2300000,16.3700000,33562736
US1.GE,D,26/01/10,00:00,16.3501000,16.7000000,16.2601000,16.3500000,32200759
US1.GE,D,27/01/10,00:00,16.2900000,16.3900000,16.0400000,16.3000000,24285506
US1.GE,D,28/01/10,00:00,16.4200000,16.4500000,16.0100000,16.1600000,26495405
US1.GE,D,29/01/10,00:00,16.2400000,16.5000000,16.0700000,16.0800000,24542137
US1.GE,D,01/02/10,00:00,16.2200000,16.3400000,16.1000000,16.2500000,27865605
US1.GE,D,02/02/10,00:00,16.2700000,16.9500000,16.2400000,16.8500000,63018666
US1.GE,D,03/02/10,00:00,16.8000000,17.0300000,16.6200000,16.6800000,32442131
US1.GE,D,04/02/10,00:00,16.4800000,16.4900000,16.0100000,16.0400000,37814629
US1.GE,D,05/02/10,00:00,16.0400000,16.1800000,15.2500000,15.7900000,40127814
US1.GE,D,08/02/10,00:00,15.7900000,15.8400000,15.4700000,15.6000000,31337723
US1.GE,D,09/02/10,00:00,15.7600000,15.8800000,15.4300000,15.6000000,35340817
US1.GE,D,10/02/10,00:00,15.6000000,15.8600000,15.5000000,15.6900000,29000199
US1.GE,D,11/02/10,00:00,15.6400000,15.7800000,15.4800000,15.7700000,28352733
US1.GE,D,12/02/10,00:00,15.6000000,15.6000000,15.3500000,15.5500000,33424701
