<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.HD,D,04/01/10,00:00,29.0800000,29.1200000,28.5500000,28.6700000,7785131
US1.HD,D,05/01/10,00:00,28.7300000,28.9900000,28.4600000,28.8800000,9332518
US1.HD,D,06/01/10,00:00,28.7600000,29.0000000,28.7000000,28.7800000,4606335
US1.HD,D,07/01/10,00:00,28.7900000,29.2200000,28.7400000,29.1200000,6643295
US1.HD,D,08/01/10,00:00,29.0000000,29.2385000,28.6900000,28.9800000,9630135
US1.HD,D,11/01/10,00:00,28.9800000,29.0200000,28.0800000,28.1600000,16138264
US1.HD,D,12/01/10,00:00,28.1950000,28.3500000,27.8900000,27.9800000,9637721
US1.HD,D,13/01/10,00:00,28.0000000,28.2400000,28.0000000,28.1300000,8107214
US1.HD,D,14/01/10,00:00,28.2175000,28.4400000,28.1600000,28.3000000,7405612
US1.HD,D,15/01/10,00:00,28.4000000,28.6900000,28.2545000,28.5700000,9758651
US1.HD,D,19/01/10,00:00,28.5000000,28.9500000,28.3600000,28.8800000,7935882
US1.HD,D,20/01/10,00:00,28.7300000,28.8200000,28.3600000,28.6600000,6455447
US1.HD,D,21/01/10,00:00,28.6600000,29.0600000,28.3200000,28.4800000,5604930
US1.HD,D,22/01/10,00:00,28.2600000,28.5400000,27.6800000,27.7200000,5536335
US1.HD,D,25/01/10,00:00,27.7900000,27.8700000,27.5100000,27.6200000,4898846
US1.HD,D,26/01/10,00:00,27.5100000,27.9500000,27.5000000,27.7300000,5002570
US1.HD,D,27/01/10,00:00,27.7600000,27.9100000,27.4900000,27.8400000,4495148
US1.HD,D,28/01/10,00:00,27.8600000,27.9500000,27.1900000,27.3300000,6242874
US1.HD,D,29/01/10,00:00,27.4600000,28.0900000,27.4100000,28.0100000,7862239
US1.HD,D,01/02/10,00:00,28.0100000,28.4500000,27.9300000,28.3900000,8963617
US1.HD,D,02/02/10,00:00,28.3000000,29.0500000,28.3000000,29.0300000,9876897
US1.HD,D,03/02/10,00:00,28.8800000,28.8900000,28.2600000,28.4700000,10449794
US1.HD,D,04/02/10,00:00,28.3900000,28.5300000,27.8400000,27.9300000,6480830
US1.HD,D,05/02/10,00:00,27.9100000,28.0700000,27.5300000,27.9800000,5564652
