<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.IBM,D,04/01/10,00:00,130.9100000,132.9700000,130.8500000,132.4500000,3769068
US1.IBM,D,05/01/10,00:00,131.6000000,131.8500000,130.1000000,130.8500000,3717846
US1.IBM,D,06/01/10,00:00,130.6600000,131.4900000,129.8700000,130.0000000,3166050
US1.IBM,D,07/01/10,00:00,129.9000000,130.2500000,128.9100000,129.5500000,3289710
US1.IBM,D,08/01/10,00:00,129.1900000,130.9100000,129.0600000,130.8500000,2624473
US1.IBM,D,11/01/10,00:00,130.9900000,130.9900000,128.6700000,129.4800000,3145663
US1.IBM,D,12/01/10,00:00,129.1000000,131.3300000,129.0100000,130.5100000,4215722
US1.IBM,D,13/01/10,00:00,130.7000000,131.1200000,129.1912000,130.2300000,3222712
US1.IBM,D,14/01/10,00:00,130.7500000,132.7100000,129.9300000,132.3100000,4148720
US1.IBM,D,15/01/10,00:00,131.8200000,132.8900000,131.0890000,131.7800000,3439847
US1.IBM,D,19/01/10,00:00,131.8800000,134.2100000,131.5600000,134.1400000,6969223
US1.IBM,D,20/01/10,00:00,130.7500000,131.1450000,128.9500000,130.2500000,5924643
US1.IBM,D,21/01/10,00:00,130.5100000,130.6800000,128.0600000,129.0000000,3109525
US1.IBM,D,22/01/10,00:00,128.4200000,128.6700000,125.3800000,125.5000000,3431334
US1.IBM,D,25/01/10,00:00,126.3700000,126.8950000,125.7600000,126.1200000,2574862
US1.IBM,D,26/01/10,00:00,125.9800000,127.7500000,125.4200000,125.7500000,3109236
US1.IBM,D,27/01/10,00:00,126.0000000,126.9600000,125.0700000,126.3300000,3237950
US1.IBM,D,28/01/10,00:00,126.5800000,126.5900000,123.0500000,123.7500000,3797197
US1.IBM,D,29/01/10,00:00,124.1900000,124.3700000,121.9000000,122.3900000,3849945
US1.IBM,D,01/02/10,00:00,123.1400000,124.9300000,122.8100000,124.6700000,4023698
US1.IBM,D,02/02/10,00:00,124.9900000,125.8100000,123.9500000,125.5300000,2924924
US1.IBM,D,03/02/10,00:00,125.2000000,126.0700000,125.0700000,125.6600000,1965901
US1.IBM,D,04/02/10,00:00,125.0000000,125.4350000,122.9000000,123.0000000,3271904
