<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.INTC,D,04/01/10,00:00,20.7900000,21.0300000,20.7300000,20.8900000,24714248
US1.INTC,D,05/01/10,00:00,20.9500000,20.9900000,20.6000000,20.8500000,29526278
US1.INTC,D,06/01/10,00:00,20.8100000,20.9285000,20.6700000,20.8100000,20142472
US1.INTC,D,07/01/10,00:00,20.7200000,20.7600000,20.3400000,20.6000000,29478956
US1.INTC,D,08/01/10,00:00,20.5400000,20.8900000,20.4000000,20.8300000,25001398
US1.INTC,D,11/01/10,00:00,21.1200000,21.1500000,20.8200000,20.9500000,26778510
US1.INTC,D,12/01/10,00:00,20.8600000,20.8600000,20.3800000,20.6000000,31074008
US1.INTC,D,13/01/10,00:00,20.7200000,21.0800000,20.4400000,20.9700000,34929743
US1.INTC,D,14/01/10,00:00,21.1000000,21.5500000,21.0500000,21.4700000,75588435
US1.INTC,D,15/01/10,00:00,21.3900000,21.4000000,20.7700000,20.8000000,87711383
US1.INTC,D,19/01/10,00:00,20.9400000,21.1700000,20.8500000,21.0600000,38744184
US1.INTC,D,20/01/10,00:00,21.0050000,21.1400000,20.8500000,21.0800000,28189168
US1.INTC,D,21/01/10,00:00,21.1600000,21.3100000,20.6800000,20.8300000,17656943
US1.INTC,D,22/01/10,00:00,20.7800000,20.7800000,19.8100000,19.9100000,29320509
US1.INTC,D,25/01/10,00:00,20.2400000,20.5300000,20.1400000,20.3200000,28264983
US1.INTC,D,26/01/10,00:00,20.1650000,20.3800000,19.9500000,19.9800000,24778895
US1.INTC,D,27/01/10,00:00,20.0100000,20.3300000,19.8300000,20.2400000,21067341
US1.INTC,D,28/01/10,00:00,20.3000000,20.3700000,19.6800000,19.9200000,22624942
US1.INTC,D,29/01/10,00:00,20.1300000,20.2301000,19.3006000,19.4000000,32373227
US1.INTC,D,01/02/10,00:00,19.4600000,19.7500000,19.4400000,19.6000000,20743559
US1.INTC,D,02/02/10,00:00,19.6800000,20.0400000,19.5600000,19.9100000,33451966
US1.INTC,D,03/02/10,00:00,19.7700000,19.8800000,19.4700000,19.6800000,19531292
US1.INTC,D,04/02/10,00:00,19.5800000,19.5800000,18.9500000,19.0200000,29535610
US1.INTC,D,05/02/10,00:00,19.1000000,19.5700000,19.0100000,19.5000000,19349317
US1.INTC,D,08/02/10,00:00,19.4800000,19.7900000,19.3100000,19.3210000,24493876
US1.INTC,D,09/02/10,00:00,19.6250000,19.8900000,19.4500000,19.6500000,22976888
US1.INTC,D,10/02/10,00:00,19.5800000,19.8700000,19.4500000,19.6900000,21130411
US1.INTC,D,11/02/10,00:00,19.6600000,20.2000000,19.5500000,20.0600000,23878241
US1.INTC,D,12/02/10,00:00,19.9500000,20.6709000,19.7850000,20.4600000,37371488
US1.INTC,D,16/02/10,00:00,20.6600000,20.8500000,20.5500000,20.7200000,50238478
US1.INTC,D,17/02/10,00:00,20.8300000,20.8500000,20.5301000,20.6600000,20754827
US1.INTC,D,18/02/10,00:00,20.6300000,20.8500000,20.5500000,20.8300000,19280173
US1.INTC,D,19/02/10,00:00,20.7200000,20.9700000,20.5800000,20.8200000,17473196
US1.INTC,D,22/02/10,00:00,20.9550000,20.9550000,20.6500000,20.8700000,21222020
US1.INTC,D,23/02/10,00:00,20.8300000,20.9500000,20.2900000,20.3800000,25230480
US1.INTC,D,24/02/10,00:00,20.5200000,20.8100000,20.5000000,20.7000000,23647764
US1.INTC,D,25/02/10,00:00,20.3700000,20.6600000,20.2200000,20.6350000,16951267
US1.INTC,D,26/02/10,00:00,20.5800000,20.6800000,20.4300000,20.5400000,18727270
US1.INTC,D,01/03/10,00:00,20.6900000,20.9300000,20.6450000,20.8900000,26247456
US1.INTC,D,02/03/10,00:00,20.9900000,21.0900000,20.5800000,20.7000000,26179568
US1.INTC,D,03/03/10,00:00,20.7800000,20.8000000,20.4400000,20.5200000,24142334
US1.INTC,D,04/03/10,00:00,20.5100000,20.6000000,20.2600000,20.5300000,30622795
US1.INTC,D,05/03/10,00:00,20.6600000,20.8400000,20.4500000,20.8000000,21020622
US1.INTC,D,08/03/10,00:00,20.8100000,20.8800000,20.7000000,20.7650000,17772706
US1.INTC,D,09/03/10,00:00,20.6800000,21.2000000,20.6600000,20.9400000,48127419
US1.INTC,D,10/03/10,00:00,20.9300000,21.2900000,20.9100000,21.2100000,21789025
US1.INTC,D,11/03/10,00:00,21.1400000,21.2700000,20.9900000,21.2500000,28844410
US1.INTC,D,12/03/10,00:00,21.3100000,21.3700000,21.1800000,21.2700000,26828569
US1.INTC,D,15/03/10,00:00,21.1700000,21.3200000,21.0500000,21.1700000,18290900
US1.INTC,D,16/03/10,00:00,21.2300000,22.0400000,21.2100000,22.0000000,63809596
US1.INTC,D,17/03/10,00:00,22.0200000,22.3500000,21.9100000,22.2400000,38029477
US1.INTC,D,18/03/10,00:00,22.1700000,22.3500000,22.0100000,22.1700000,20521194
US1.INTC,D,19/03/10,00:00,22.3100000,22.3500000,21.8100000,22.0100000,28198347
US1.INTC,D,22/03/10,00:00,21.8700000,22.7100000,21.8500000,22.2400000,23155611
US1.INTC,D,23/03/10,00:00,22.3800000,22.7500000,22.3600000,22.6800000,26975184
US1.INTC,D,24/03/10,00:00,22.5300000,22.6700000,22.3200000,22.4300000,22603254
US1.INTC,D,25/03/10,00:00,22.6900000,22.7300000,22.3100000,22.3500000,31404664
US1.INTC,D,26/03/10,00:00,22.4700000,22.5900000,22.0704000,22.2400000,21045767
US1.INTC,D,29/03/10,00:00,22.4150000,22.4900000,22.2600000,22.3400000,18135091
US1.INTC,D,30/03/10,00:00,22.3800000,22.5400000,22.1800000,22.3500000,18633400
US1.INTC,D,31/03/10,00:00,22.3200000,22.5000000,22.2100000,22.2800000,17208256
US1.INTC,D,01/04/10,00:00,22.4100000,22.6400000,22.2000000,22.3800000,21910543
US1.INTC,D,05/04/10,00:00,22.4800000,22.6500000,22.3450000,22.5900000,20646721
US1.INTC,D,06/04/10,00:00,22.4400000,22.4800000,22.2600000,22.4200000,26464664
US1.INTC,D,07/04/10,00:00,22.4000000,22.6800000,22.2500000,22.4600000,23870908
US1.INTC,D,08/04/10,00:00,22.3700000,22.4100000,22.1625000,22.3100000,17939057
US1.INTC,D,09/04/10,00:00,22.4000000,22.5700000,22.3600000,22.5500000,24915701
US1.INTC,D,12/04/10,00:00,22.6900000,22.7300000,22.4404000,22.5400000,26423234
US1.INTC,D,13/04/10,00:00,22.6400000,22.8200000,22.4800000,22.8200000,56591591
US1.INTC,D,14/04/10,00:00,23.5500000,23.6901000,23.2700000,23.5200000,64667308
US1.INTC,D,15/04/10,00:00,23.8400000,24.3667000,23.8000000,24.2300000,51205057
US1.INTC,D,16/04/10,00:00,24.0700000,24.1600000,23.7800000,23.9200000,31164404
US1.INTC,D,19/04/10,00:00,23.9100000,24.0300000,23.5400000,23.9900000,27439071
US1.INTC,D,20/04/10,00:00,24.2100000,24.2500000,23.9000000,24.1200000,30445072
US1.INTC,D,21/04/10,00:00,24.1100000,24.1300000,23.5400000,23.8000000,36365172
US1.INTC,D,22/04/10,00:00,23.5400000,24.0593000,23.3201000,23.9800000,28055594
US1.INTC,D,23/04/10,00:00,23.9600000,24.0600000,23.7300000,24.0400000,24341472
US1.INTC,D,26/04/10,00:00,24.0800000,24.1300000,23.8200000,23.8300000,26882288
US1.INTC,D,27/04/10,00:00,23.7300000,23.8700000,23.3100000,23.3500000,20858081
US1.INTC,D,28/04/10,00:00,23.4000000,23.4600000,22.9100000,23.2600000,38578827
US1.INTC,D,29/04/10,00:00,23.3400000,23.5100000,23.3000000,23.4800000,23119798
US1.INTC,D,30/04/10,00:00,23.4600000,23.4600000,22.8100000,22.8400000,24096381
US1.INTC,D,03/05/10,00:00,22.9800000,23.4420000,22.9000000,23.2700000,26858830
US1.INTC,D,04/05/10,00:00,22.9300000,22.9400000,22.4000000,22.5500000,28485701
US1.INTC,D,05/05/10,00:00,22.0700000,22.3800000,21.9100000,22.1725000,28742461
US1.INTC,D,06/05/10,00:00,22.1400000,22.3800000,19.9100000,21.5200000,25640494
US1.INTC,D,07/05/10,00:00,21.2500000,21.7000000,20.4600000,21.3100000,26819956
US1.INTC,D,10/05/10,00:00,22.3600000,22.5600000,22.1700000,22.5500000,29303906
US1.INTC,D,11/05/10,00:00,22.3300000,22.8600000,22.1000000,22.2700000,32075620
US1.INTC,D,12/05/10,00:00,22.5950000,23.1400000,22.5000000,23.1300000,28373919
US1.INTC,D,13/05/10,00:00,23.0500000,23.1700000,22.3600000,22.4800000,19536005
