<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.JNJ,D,04/01/10,00:00,64.6400000,64.9900000,64.4600000,64.6800000,6116005
US1.JNJ,D,05/01/10,00:00,64.4700000,64.5900000,63.8200000,63.9300000,6184848
US1.JNJ,D,06/01/10,00:00,63.8800000,64.5400000,63.8400000,64.4500000,7800718
US1.JNJ,D,07/01/10,00:00,64.2900000,64.3500000,63.7400000,63.9900000,6593791
US1.JNJ,D,08/01/10,00:00,63.9200000,64.2500000,63.6400000,64.2100000,4504448
US1.JNJ,D,11/01/10,00:00,64.4900000,64.5000000,64.0100000,64.2200000,4517181
US1.JNJ,D,12/01/10,00:00,64.1400000,64.7100000,64.0200000,64.5600000,5853315
US1.JNJ,D,13/01/10,00:00,64.5500000,65.2300000,64.5500000,64.9700000,6423364
US1.JNJ,D,14/01/10,00:00,65.2650000,65.2650000,64.7950000,65.1000000,4346523
US1.JNJ,D,15/01/10,00:00,64.9700000,65.2000000,63.9800000,64.5600000,9813487
US1.JNJ,D,19/01/10,00:00,64.2700000,65.7500000,64.2301000,65.3500000,7471657
US1.JNJ,D,20/01/10,00:00,65.9100000,65.9400000,64.4700000,65.1500000,5607631
US1.JNJ,D,21/01/10,00:00,65.2700000,65.4300000,63.8100000,63.9700000,4099468
US1.JNJ,D,22/01/10,00:00,63.7900000,64.1700000,63.1000000,63.2000000,4319227
US1.JNJ,D,25/01/10,00:00,63.5500000,63.7000000,63.0600000,63.2200000,4926573
US1.JNJ,D,26/01/10,00:00,62.6100000,63.0100000,62.2200000,62.7900000,7180161
US1.JNJ,D,27/01/10,00:00,62.9100000,63.7100000,62.7000000,63.4400000,5667771
US1.JNJ,D,28/01/10,00:00,63.5200000,64.0700000,63.0700000,63.8000000,5883765
US1.JNJ,D,29/01/10,00:00,63.9300000,63.9300000,62.8200000,62.8600000,6307138
US1.JNJ,D,01/02/10,00:00,63.1400000,63.2400000,62.7700000,63.0900000,5366618
US1.JNJ,D,02/02/10,00:00,63.2100000,64.1950000,62.6400000,63.9900000,6688273
US1.JNJ,D,03/02/10,00:00,63.7800000,63.8390000,63.2900000,63.6300000,4190874
US1.JNJ,D,04/02/10,00:00,63.3900000,63.5900000,62.6280000,62.6400000,5488924
US1.JNJ,D,05/02/10,00:00,62.5600000,62.9400000,61.9000000,62.6600000,4223293
US1.JNJ,D,08/02/10,00:00,62.3600000,62.9800000,62.2600000,62.3700000,4875954
US1.JNJ,D,09/02/10,00:00,62.7200000,63.4600000,62.4800000,62.7600000,3517982
US1.JNJ,D,10/02/10,00:00,62.6600000,63.0700000,62.2100000,62.7300000,4111866
US1.JNJ,D,11/02/10,00:00,62.5140000,63.2100000,62.2700000,62.9100000,3460554
US1.JNJ,D,12/02/10,00:00,62.6100000,63.0000000,62.1100000,62.7200000,5824893
US1.JNJ,D,16/02/10,00:00,63.2100000,63.7100000,62.8200000,63.6100000,8628731
US1.JNJ,D,17/02/10,00:00,63.6500000,64.3600000,63.6500000,63.9800000,4857330
US1.JNJ,D,18/02/10,00:00,63.9900000,64.7000000,63.9600000,64.5300000,4248629
US1.JNJ,D,19/02/10,00:00,64.1600000,64.4600000,63.6200000,63.8100000,6374426
US1.JNJ,D,22/02/10,00:00,63.7700000,64.0900000,63.3900000,63.4900000,6038421
US1.JNJ,D,23/02/10,00:00,63.6400000,63.8500000,63.2400000,63.3100000,5693827
US1.JNJ,D,24/02/10,00:00,63.7800000,63.8500000,63.2500000,63.4500000,4436010
US1.JNJ,D,25/02/10,00:00,62.8000000,63.3500000,62.5200000,63.2800000,4408780
US1.JNJ,D,26/02/10,00:00,63.4600000,63.5800000,63.0000000,63.0000000,4771708
US1.JNJ,D,01/03/10,00:00,63.2400000,63.4600000,63.1700000,63.3900000,5047343
US1.JNJ,D,02/03/10,00:00,63.4400000,63.6400000,63.0200000,63.4400000,4385856
US1.JNJ,D,03/03/10,00:00,63.6000000,63.7400000,63.2200000,63.4000000,5187539
US1.JNJ,D,04/03/10,00:00,63.5200000,63.7000000,63.3700000,63.5700000,4344025
US1.JNJ,D,05/03/10,00:00,63.6300000,64.0700000,63.6300000,64.0400000,5797375
US1.JNJ,D,08/03/10,00:00,64.0700000,64.4100000,64.0200000,64.2000000,5979003
US1.JNJ,D,09/03/10,00:00,64.4300000,64.4900000,64.0950000,64.2700000,4508892
US1.JNJ,D,10/03/10,00:00,64.3200000,64.5600000,64.1500000,64.2900000,3675058
US1.JNJ,D,11/03/10,00:00,64.1000000,64.2200000,63.6000000,64.2200000,5162786
US1.JNJ,D,12/03/10,00:00,64.1600000,64.2200000,63.8500000,64.1800000,11332616
US1.JNJ,D,15/03/10,00:00,64.1700000,64.5700000,64.0700000,64.5700000,4533023
US1.JNJ,D,16/03/10,00:00,64.6200000,64.7200000,64.2300000,64.5300000,4668571
US1.JNJ,D,17/03/10,00:00,64.6800000,64.7300000,64.4800000,64.6500000,4071959
US1.JNJ,D,18/03/10,00:00,64.6000000,65.1500000,64.3799000,65.0600000,6229447
US1.JNJ,D,19/03/10,00:00,65.1100000,65.4800000,64.8100000,65.1100000,11050289
US1.JNJ,D,22/03/10,00:00,65.0900000,65.4400000,64.9800000,65.1000000,4732174
US1.JNJ,D,23/03/10,00:00,65.1000000,65.3900000,64.8700000,65.3600000,5439495
US1.JNJ,D,24/03/10,00:00,65.2400000,65.2400000,64.7500000,64.7500000,4752752
US1.JNJ,D,25/03/10,00:00,65.1800000,65.2500000,64.5300000,64.5700000,4395891
US1.JNJ,D,26/03/10,00:00,64.6000000,64.7200000,64.3300000,64.3800000,5194395
US1.JNJ,D,29/03/10,00:00,64.4000000,64.9350000,64.4000000,64.8200000,4949574
US1.JNJ,D,30/03/10,00:00,64.9000000,64.9800000,64.5600000,64.9000000,4921884
US1.JNJ,D,31/03/10,00:00,64.8500000,65.3090000,64.7050000,65.2000000,6753242
US1.JNJ,D,01/04/10,00:00,65.4700000,65.7700000,65.2400000,65.7600000,5641516
US1.JNJ,D,05/04/10,00:00,65.8000000,65.8900000,65.3800000,65.4000000,5839510
US1.JNJ,D,06/04/10,00:00,65.0200000,65.4400000,65.0000000,65.3100000,5380141
US1.JNJ,D,07/04/10,00:00,65.2500000,65.4900000,65.0800000,65.2200000,4706185
US1.JNJ,D,08/04/10,00:00,65.0300000,65.1150000,64.7700000,64.9300000,5091285
US1.JNJ,D,09/04/10,00:00,64.8800000,65.1700000,64.7800000,65.1400000,4361186
US1.JNJ,D,12/04/10,00:00,65.1100000,65.2000000,64.9300000,65.1100000,7346612
US1.JNJ,D,13/04/10,00:00,65.0800000,65.8500000,64.9100000,65.6800000,7169458
US1.JNJ,D,14/04/10,00:00,65.4200000,65.6000000,65.1800000,65.4900000,5160416
US1.JNJ,D,15/04/10,00:00,65.2400000,65.5300000,65.1300000,65.5100000,4900953
US1.JNJ,D,16/04/10,00:00,65.4500000,65.6500000,64.8900000,65.0200000,4889927
US1.JNJ,D,19/04/10,00:00,65.1500000,66.1000000,65.1200000,66.0300000,7065856
US1.JNJ,D,20/04/10,00:00,66.1900000,66.2000000,65.7300000,65.9900000,6424822
US1.JNJ,D,21/04/10,00:00,65.9300000,65.9300000,65.0700000,65.3900000,6940411
US1.JNJ,D,22/04/10,00:00,65.1900000,65.2400000,64.3360000,64.7800000,7570894
US1.JNJ,D,23/04/10,00:00,64.6900000,65.0400000,64.3300000,65.0400000,6255162
US1.JNJ,D,26/04/10,00:00,65.0300000,65.1900000,64.7200000,64.7600000,5230787
US1.JNJ,D,27/04/10,00:00,64.5200000,64.8800000,64.2275000,64.2800000,3659912
US1.JNJ,D,28/04/10,00:00,64.2900000,64.8600000,64.2500000,64.6200000,7284606
US1.JNJ,D,29/04/10,00:00,64.9500000,65.3400000,64.8900000,65.0100000,3426443
US1.JNJ,D,30/04/10,00:00,65.1400000,65.3350000,64.3000000,64.3000000,7539839
US1.JNJ,D,03/05/10,00:00,65.0900000,65.6200000,64.5500000,65.3300000,7729972
US1.JNJ,D,04/05/10,00:00,65.0300000,65.2800000,64.4200000,64.7000000,5579394
US1.JNJ,D,05/05/10,00:00,64.4700000,65.2800000,64.4600000,65.1400000,4699037
US1.JNJ,D,06/05/10,00:00,64.9700000,65.1000000,60.0300000,63.4000000,4832656
US1.JNJ,D,07/05/10,00:00,63.3500000,63.5800000,62.1100000,63.3100000,3921201
US1.JNJ,D,10/05/10,00:00,64.7200000,65.3400000,64.0100000,64.7500000,5818329
US1.JNJ,D,11/05/10,00:00,64.2800000,65.0900000,64.2800000,64.6700000,3292104
US1.JNJ,D,12/05/10,00:00,64.8500000,65.0500000,64.5000000,64.9000000,4063178
US1.JNJ,D,13/05/10,00:00,64.8000000,65.1600000,64.5100000,64.6700000,4015035
US1.JNJ,D,14/05/10,00:00,64.7200000,64.7200000,63.4100000,63.9700000,3435470
US1.JNJ,D,17/05/10,00:00,64.1900000,64.2400000,63.2000000,63.8800000,3270934
US1.JNJ,D,18/05/10,00:00,63.3100000,63.5600000,62.8500000,62.9700000,16675171
US1.JNJ,D,19/05/10,00:00,62.6900000,62.9590000,62.0500000,62.2200000,16293010
US1.JNJ,D,20/05/10,00:00,61.8000000,61.8000000,60.5500000,60.5500000,4772145
US1.JNJ,D,21/05/10,00:00,59.7300000,60.9599000,59.5100000,60.8800000,20342694
US1.JNJ,D,24/05/10,00:00,60.7600000,61.4500000,60.2100000,60.5700000,13493947
US1.JNJ,D,25/05/10,00:00,59.7100000,60.4100000,59.1500000,60.3500000,19466309
US1.JNJ,D,26/05/10,00:00,60.5900000,60.6300000,59.6500000,59.6600000,17917624
US1.JNJ,D,27/05/10,00:00,59.7400000,59.8900000,58.7100000,59.0300000,27088008
US1.JNJ,D,28/05/10,00:00,58.7200000,59.1200000,58.1900000,58.3000000,23492718
US1.JNJ,D,01/06/10,00:00,58.2000000,59.4100000,57.5500000,58.7600000,17129322
US1.JNJ,D,02/06/10,00:00,59.1400000,59.7300000,58.6900000,59.7300000,14181906
US1.JNJ,D,03/06/10,00:00,59.8900000,60.1500000,59.5500000,59.7700000,13562323
US1.JNJ,D,04/06/10,00:00,58.8800000,59.0307000,57.7600000,58.0100000,19152603
US1.JNJ,D,07/06/10,00:00,58.2200000,58.5500000,58.0000000,58.0000000,12465457
US1.JNJ,D,08/06/10,00:00,58.1000000,58.7100000,57.8700000,58.6400000,12697752
US1.JNJ,D,09/06/10,00:00,58.8000000,58.9400000,57.9400000,58.1700000,11752911
US1.JNJ,D,10/06/10,00:00,58.8800000,59.1300000,58.3500000,58.5000000,17270742
US1.JNJ,D,11/06/10,00:00,58.1500000,58.4800000,57.9350000,58.4600000,13753470
US1.JNJ,D,14/06/10,00:00,58.5900000,59.1000000,58.3800000,58.4200000,9618300
US1.JNJ,D,15/06/10,00:00,58.9300000,59.1600000,58.5500000,59.1400000,10321464
US1.JNJ,D,16/06/10,00:00,59.2500000,59.5800000,58.7800000,59.2400000,8125831
US1.JNJ,D,17/06/10,00:00,59.2800000,59.4400000,58.6500000,59.1800000,10674563
US1.JNJ,D,18/06/10,00:00,59.1800000,59.2900000,58.8500000,59.1800000,15972559
US1.JNJ,D,21/06/10,00:00,59.4600000,59.7500000,58.9200000,59.1300000,11290595
US1.JNJ,D,22/06/10,00:00,59.2500000,60.0900000,59.1200000,59.1600000,12728425
US1.JNJ,D,23/06/10,00:00,59.2100000,59.4200000,58.7100000,59.2400000,11345045
US1.JNJ,D,24/06/10,00:00,59.0300000,59.9400000,59.0300000,59.6000000,17354591
US1.JNJ,D,25/06/10,00:00,59.8100000,59.8700000,58.6300000,58.7000000,28209114
US1.JNJ,D,28/06/10,00:00,59.0000000,59.7900000,58.8100000,59.4500000,14480890
US1.JNJ,D,29/06/10,00:00,59.0500000,59.4200000,58.6800000,59.2400000,17304994
US1.JNJ,D,30/06/10,00:00,59.0400000,59.6100000,58.9400000,59.0600000,13393349
US1.JNJ,D,01/07/10,00:00,58.9500000,59.2500000,58.6500000,59.0700000,14941821
US1.JNJ,D,02/07/10,00:00,59.4200000,59.5900000,58.8500000,59.0800000,9302652
US1.JNJ,D,06/07/10,00:00,59.5000000,59.6000000,58.6690000,59.0800000,14307365
US1.JNJ,D,07/07/10,00:00,59.3300000,60.7000000,59.0350000,60.6100000,13642250
US1.JNJ,D,08/07/10,00:00,60.9300000,61.7300000,60.6400000,61.3800000,14195002
US1.JNJ,D,09/07/10,00:00,60.9700000,61.0700000,60.3800000,60.5400000,11035800
US1.JNJ,D,12/07/10,00:00,60.4500000,60.5400000,60.0600000,60.2200000,9339508
US1.JNJ,D,13/07/10,00:00,60.5000000,60.9600000,60.4400000,60.5000000,9729098
US1.JNJ,D,14/07/10,00:00,60.2200000,60.6755000,60.0500000,60.6200000,9237868
US1.JNJ,D,15/07/10,00:00,60.6100000,60.7500000,59.9000000,60.2600000,11549219
US1.JNJ,D,16/07/10,00:00,60.0000000,60.1900000,59.2500000,59.4400000,13940570
US1.JNJ,D,19/07/10,00:00,59.7200000,59.7900000,59.3650000,59.5700000,9826775
US1.JNJ,D,20/07/10,00:00,58.5200000,58.7700000,58.0000000,58.5800000,18023898
US1.JNJ,D,21/07/10,00:00,58.8000000,58.8000000,56.8700000,57.1200000,23180046
US1.JNJ,D,22/07/10,00:00,57.4300000,57.6200000,56.8600000,57.0200000,16756962
US1.JNJ,D,23/07/10,00:00,57.2800000,57.6400000,57.0000000,57.6300000,13720273
US1.JNJ,D,26/07/10,00:00,57.6500000,58.0100000,57.4800000,57.7400000,10961670
US1.JNJ,D,27/07/10,00:00,57.9500000,58.4400000,57.6200000,58.1000000,15492008
US1.JNJ,D,28/07/10,00:00,58.1400000,58.2500000,57.6500000,57.8300000,12552811
US1.JNJ,D,29/07/10,00:00,58.1000000,58.2700000,57.7100000,57.8300000,11757738
US1.JNJ,D,30/07/10,00:00,57.6300000,58.3600000,57.2700000,58.0900000,10123632
US1.JNJ,D,02/08/10,00:00,58.6000000,58.8800000,58.4100000,58.7200000,9639207
US1.JNJ,D,03/08/10,00:00,58.7500000,59.6000000,58.7100000,59.3500000,9664495
US1.JNJ,D,04/08/10,00:00,59.3700000,59.9300000,59.2300000,59.7400000,10821683
US1.JNJ,D,05/08/10,00:00,59.6500000,59.8900000,59.5120000,59.7600000,8265194
US1.JNJ,D,06/08/10,00:00,59.5400000,60.0000000,59.2500000,59.9600000,7784819
US1.JNJ,D,09/08/10,00:00,60.0000000,60.2500000,59.7900000,60.0500000,6201927
US1.JNJ,D,10/08/10,00:00,59.4200000,59.8100000,58.9000000,59.4300000,12136980
US1.JNJ,D,11/08/10,00:00,58.8700000,58.9500000,58.3000000,58.5000000,10707966
US1.JNJ,D,12/08/10,00:00,58.1500000,58.7100000,58.1000000,58.5200000,7685973
US1.JNJ,D,13/08/10,00:00,58.4900000,58.4900000,58.0600000,58.1700000,7743215
US1.JNJ,D,16/08/10,00:00,57.9900000,58.1100000,57.4700000,58.0100000,8428563
US1.JNJ,D,17/08/10,00:00,58.9300000,59.4800000,58.5000000,59.2300000,11849598
US1.JNJ,D,18/08/10,00:00,59.4200000,59.8200000,59.0300000,59.3500000,9478069
US1.JNJ,D,19/08/10,00:00,59.1500000,59.1800000,58.4000000,58.7200000,10525069
US1.JNJ,D,20/08/10,00:00,58.7000000,58.9100000,58.4900000,58.7400000,10968611
US1.JNJ,D,23/08/10,00:00,59.0700000,59.3500000,58.8100000,58.8700000,7866060
US1.JNJ,D,24/08/10,00:00,58.5100000,58.6900000,57.8591000,58.0100000,12809194
US1.JNJ,D,25/08/10,00:00,58.0000000,59.0800000,57.8500000,57.9800000,10461858
US1.JNJ,D,26/08/10,00:00,58.1100000,58.2200000,57.7800000,57.8000000,12106165
US1.JNJ,D,27/08/10,00:00,57.5000000,57.8800000,56.9900000,57.6000000,10661092
