<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.JPM,D,04/01/10,00:00,41.7900000,42.9900000,41.7600000,42.8500000,22677955
US1.JPM,D,05/01/10,00:00,42.7900000,43.8400000,42.7900000,43.6800000,23629250
US1.JPM,D,06/01/10,00:00,43.4400000,44.0900000,43.3100000,43.9200000,15357234
US1.JPM,D,07/01/10,00:00,43.7900000,45.1200000,43.6200000,44.7900000,27960613
US1.JPM,D,08/01/10,00:00,44.3600000,44.6800000,44.0900000,44.6800000,18558911
US1.JPM,D,11/01/10,00:00,45.1100000,45.1900000,44.3100000,44.5300000,19283116
US1.JPM,D,12/01/10,00:00,44.0000000,44.1500000,42.9400000,43.4900000,22990578
US1.JPM,D,13/01/10,00:00,43.5499000,44.5200000,42.8700000,44.2500000,19945355
US1.JPM,D,14/01/10,00:00,44.2000000,44.7900000,44.1000000,44.6900000,22574579
US1.JPM,D,15/01/10,00:00,44.3100000,44.4300000,43.3500000,43.6800000,29675667
US1.JPM,D,19/01/10,00:00,43.3850000,43.7500000,42.9000000,43.2800000,21829012
US1.JPM,D,20/01/10,00:00,42.9825000,43.6800000,42.7100000,43.4000000,17106449
US1.JPM,D,21/01/10,00:00,43.0400000,43.1400000,40.3300000,40.5400000,45898242
US1.JPM,D,22/01/10,00:00,40.6500000,41.1900000,38.8200000,39.1600000,36261750
US1.JPM,D,25/01/10,00:00,39.7300000,39.8800000,38.8405000,39.2100000,27615502
US1.JPM,D,26/01/10,00:00,39.0100000,39.8350000,38.2800000,38.4400000,22924335
US1.JPM,D,27/01/10,00:00,38.4200000,39.4900000,38.0700000,39.3300000,26671856
US1.JPM,D,28/01/10,00:00,39.7200000,40.0400000,38.7800000,39.4800000,22348290
US1.JPM,D,29/01/10,00:00,39.6200000,39.8300000,38.8000000,38.9400000,17656295
US1.JPM,D,01/02/10,00:00,39.0700000,39.9300000,38.9700000,39.6300000,18024819
US1.JPM,D,02/02/10,00:00,39.7600000,40.6800000,39.7300000,40.5500000,21833302
US1.JPM,D,03/02/10,00:00,40.5400000,41.1000000,40.1700000,40.2900000,18025975
US1.JPM,D,04/02/10,00:00,39.8300000,39.9150000,38.3500000,38.3500000,19743184
US1.JPM,D,05/02/10,00:00,38.6650000,38.8800000,37.0300000,38.3000000,21439659
US1.JPM,D,08/02/10,00:00,38.2200000,38.2400000,37.3200000,37.7000000,26728614
US1.JPM,D,09/02/10,00:00,38.2200000,38.7000000,37.8400000,38.3900000,15163341
US1.JPM,D,10/02/10,00:00,38.5900000,39.5000000,38.5200000,38.8700000,16044971
US1.JPM,D,11/02/10,00:00,38.8800000,39.3700000,38.3600000,39.0200000,15901889
US1.JPM,D,12/02/10,00:00,38.7000000,39.1800000,38.3600000,39.0800000,12462489
US1.JPM,D,16/02/10,00:00,39.3400000,40.1400000,38.7500000,40.0700000,39566311
US1.JPM,D,17/02/10,00:00,40.2300000,40.4400000,39.7600000,40.0400000,17162315
US1.JPM,D,18/02/10,00:00,39.9300000,40.5100000,39.7800000,40.4100000,15135756
US1.JPM,D,19/02/10,00:00,40.1200000,40.3200000,39.9000000,40.0300000,22940805
