<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.MCD.W,D,04/01/10,00:00,62.5500000,63.0700000,62.3100000,62.7800000,3679988
US1.MCD.W,D,05/01/10,00:00,62.6800000,62.7500000,62.1900000,62.3000000,4258954
US1.MCD.W,D,06/01/10,00:00,62.2500000,62.4100000,61.0600000,61.4500000,6645668
US1.MCD.W,D,07/01/10,00:00,61.3000000,62.3400000,61.1100000,61.9000000,4626702
US1.MCD.W,D,08/01/10,00:00,62.3500000,62.4100000,61.6000000,61.8400000,3842830
US1.MCD.W,D,11/01/10,00:00,62.1400000,62.4300000,61.8500000,62.3200000,3934678
US1.MCD.W,D,12/01/10,00:00,62.1300000,62.6600000,62.0700000,62.6600000,3814673
US1.MCD.W,D,13/01/10,00:00,62.7700000,63.2900000,62.5600000,62.5900000,4802653
US1.MCD.W,D,14/01/10,00:00,62.5000000,62.7300000,62.0850000,62.6500000,4239014
US1.MCD.W,D,15/01/10,00:00,62.3800000,62.9800000,62.0600000,62.2800000,3875269
US1.MCD.W,D,19/01/10,00:00,62.8200000,63.8100000,62.7700000,63.4800000,4428810
US1.MCD.W,D,20/01/10,00:00,63.3600000,63.5900000,62.7500000,63.0100000,3272452
US1.MCD.W,D,21/01/10,00:00,63.2000000,63.5900000,62.8000000,63.2000000,3783854
US1.MCD.W,D,22/01/10,00:00,62.8500000,64.7700000,62.8500000,63.3900000,4985135
US1.MCD.W,D,25/01/10,00:00,63.3000000,63.5900000,62.9300000,63.0900000,2840786
US1.MCD.W,D,26/01/10,00:00,62.7500000,64.0000000,62.7500000,63.8100000,4861609
US1.MCD.W,D,27/01/10,00:00,63.8600000,64.0000000,63.3000000,63.7300000,3141891
US1.MCD.W,D,28/01/10,00:00,63.8200000,63.8700000,62.7500000,62.8300000,3071309
US1.MCD.W,D,29/01/10,00:00,62.8800000,63.2200000,62.3900000,62.4300000,2729928
US1.MCD.W,D,01/02/10,00:00,63.0100000,63.9700000,62.8700000,63.8900000,4681345
US1.MCD.W,D,02/02/10,00:00,63.6700000,64.0500000,63.3500000,64.0300000,3550635
US1.MCD.W,D,03/02/10,00:00,64.6300000,65.7450000,64.6100000,65.2100000,6787601
US1.MCD.W,D,04/02/10,00:00,65.0900000,65.2400000,64.0200000,64.0600000,3706669
US1.MCD.W,D,05/02/10,00:00,64.1500000,64.3100000,62.6300000,63.3700000,5606694
US1.MCD.W,D,08/02/10,00:00,63.3600000,63.8000000,62.9200000,62.9200000,3526548
US1.MCD.W,D,09/02/10,00:00,63.1000000,63.8500000,62.7700000,63.5700000,4338893
US1.MCD.W,D,10/02/10,00:00,63.5700000,63.8200000,62.9700000,63.2500000,2709011
US1.MCD.W,D,11/02/10,00:00,63.2500000,63.8400000,62.5400000,63.7900000,4018254
US1.MCD.W,D,12/02/10,00:00,63.4000000,63.8900000,63.2100000,63.5900000,3110168
US1.MCD.W,D,16/02/10,00:00,63.4400000,64.1800000,63.2800000,64.0100000,5914084
US1.MCD.W,D,17/02/10,00:00,64.1100000,64.3501000,63.7700000,64.2600000,2869379
US1.MCD.W,D,18/02/10,00:00,64.1400000,64.6200000,64.0000000,64.4800000,2653666
US1.MCD.W,D,19/02/10,00:00,64.5323000,64.8926000,64.3000000,64.7400000,2582472
US1.MCD.W,D,22/02/10,00:00,64.8500000,64.9200000,64.6300000,64.7700000,2312551
US1.MCD.W,D,23/02/10,00:00,64.8100000,65.0500000,64.7100000,64.8700000,3862904
US1.MCD.W,D,24/02/10,00:00,64.9500000,65.5500000,64.7800000,65.2600000,3831386
US1.MCD.W,D,25/02/10,00:00,64.3600000,64.6200000,63.7600000,64.3800000,3945208
US1.MCD.W,D,26/02/10,00:00,64.4000000,64.7300000,63.8500000,63.8500000,5135403
US1.MCD.W,D,01/03/10,00:00,63.9900000,64.1300000,63.6700000,63.9800000,3676518
US1.MCD.W,D,02/03/10,00:00,64.2600000,64.3800000,63.9200000,64.0700000,3625249
US1.MCD.W,D,03/03/10,00:00,64.2850000,64.3400000,63.4500000,63.6300000,3650308
US1.MCD.W,D,04/03/10,00:00,63.7100000,63.7400000,63.3000000,63.4300000,3706082
US1.MCD.W,D,05/03/10,00:00,63.6500000,63.7300000,63.2500000,63.6700000,4706022
US1.MCD.W,D,08/03/10,00:00,64.3500000,65.5375000,64.2310000,65.1200000,7301951
US1.MCD.W,D,09/03/10,00:00,64.9400000,65.5000000,64.8400000,65.1000000,4167500
US1.MCD.W,D,10/03/10,00:00,65.0200000,65.2400000,64.7400000,64.9400000,3726839
US1.MCD.W,D,11/03/10,00:00,64.9100000,65.2100000,64.6700000,65.2100000,2502992
US1.MCD.W,D,12/03/10,00:00,65.4500000,65.9800000,65.3800000,65.5300000,4373256
US1.MCD.W,D,15/03/10,00:00,65.7200000,66.1900000,65.7000000,65.9300000,3349179
US1.MCD.W,D,16/03/10,00:00,66.1500000,66.1700000,65.8000000,66.0700000,3392055
US1.MCD.W,D,17/03/10,00:00,66.0800000,66.4400000,65.8700000,66.3800000,2838071
US1.MCD.W,D,18/03/10,00:00,66.4300000,66.7400000,66.3600000,66.6800000,3060536
US1.MCD.W,D,19/03/10,00:00,66.7300000,66.9000000,66.0000000,66.5300000,4308512
US1.MCD.W,D,22/03/10,00:00,66.1700000,67.2500000,66.0900000,67.0100000,4400896
US1.MCD.W,D,23/03/10,00:00,67.1000000,67.3500000,66.8300000,67.3500000,4784203
US1.MCD.W,D,24/03/10,00:00,67.0000000,67.1900000,66.5900000,66.8300000,3204397
US1.MCD.W,D,25/03/10,00:00,67.1900000,67.4200000,66.8400000,66.9000000,2536138
US1.MCD.W,D,26/03/10,00:00,67.1800000,67.4500000,66.9300000,67.2600000,3339877
US1.MCD.W,D,29/03/10,00:00,67.4300000,67.4800000,66.5900000,67.0700000,4466302
US1.MCD.W,D,30/03/10,00:00,67.0100000,67.4900000,66.9300000,67.2400000,3007612
US1.MCD.W,D,31/03/10,00:00,67.1400000,67.3900000,66.6400000,66.7200000,3546169
US1.MCD.W,D,01/04/10,00:00,67.1700000,67.7100000,67.1400000,67.5800000,2895967
US1.MCD.W,D,05/04/10,00:00,67.8100000,68.2000000,67.8000000,68.0300000,3473790
US1.MCD.W,D,06/04/10,00:00,67.7000000,67.9600000,67.6500000,67.8100000,2091600
US1.MCD.W,D,07/04/10,00:00,67.8700000,68.1280000,67.2700000,67.7000000,3596222
US1.MCD.W,D,08/04/10,00:00,67.9000000,69.0300000,67.8900000,68.7600000,3763421
US1.MCD.W,D,09/04/10,00:00,68.6500000,68.7700000,68.1500000,68.6800000,3235874
US1.MCD.W,D,12/04/10,00:00,68.7500000,68.8500000,68.3700000,68.5100000,2474204
US1.MCD.W,D,13/04/10,00:00,68.6000000,69.0400000,68.3100000,68.9200000,3324912
US1.MCD.W,D,14/04/10,00:00,69.1500000,69.5200000,69.0500000,69.4200000,3392812
US1.MCD.W,D,15/04/10,00:00,69.2900000,69.4900000,68.9700000,69.1600000,2737169
US1.MCD.W,D,16/04/10,00:00,69.1200000,69.2800000,68.3300000,69.0300000,2338446
US1.MCD.W,D,19/04/10,00:00,69.0600000,69.9700000,69.0600000,69.9300000,2930060
US1.MCD.W,D,20/04/10,00:00,69.9900000,70.5900000,69.9800000,70.3600000,3678552
US1.MCD.W,D,21/04/10,00:00,70.6800000,71.1900000,70.0500000,70.3600000,5184675
US1.MCD.W,D,22/04/10,00:00,70.1200000,71.1700000,70.1200000,71.0300000,3114143
US1.MCD.W,D,23/04/10,00:00,71.2000000,71.3400000,70.7600000,71.1300000,2602354
US1.MCD.W,D,26/04/10,00:00,71.2100000,71.4150000,70.7300000,71.0200000,3703277
US1.MCD.W,D,27/04/10,00:00,70.8500000,71.3300000,70.4000000,70.5300000,2785209
US1.MCD.W,D,28/04/10,00:00,70.7000000,70.7000000,69.7600000,70.3400000,2931079
US1.MCD.W,D,29/04/10,00:00,70.6100000,71.7000000,70.6100000,71.5200000,3621377
US1.MCD.W,D,30/04/10,00:00,71.6300000,71.7000000,70.3900000,70.5900000,2782944
US1.MCD.W,D,03/05/10,00:00,70.8100000,71.8400000,70.6700000,71.4200000,3232694
US1.MCD.W,D,04/05/10,00:00,71.1500000,71.2950000,70.3000000,70.6400000,2395414
US1.MCD.W,D,05/05/10,00:00,70.4500000,71.0500000,70.1400000,70.6600000,4136320
US1.MCD.W,D,06/05/10,00:00,70.6200000,71.4750000,67.4900000,69.4200000,3096686
US1.MCD.W,D,07/05/10,00:00,69.0200000,69.3100000,67.4300000,68.0100000,3138902
US1.MCD.W,D,10/05/10,00:00,69.9700000,71.0500000,69.7600000,70.5800000,3395666
US1.MCD.W,D,11/05/10,00:00,70.1800000,71.0800000,70.1400000,70.4800000,2011495
US1.MCD.W,D,12/05/10,00:00,70.6700000,70.9399000,70.1500000,70.6700000,2190498
US1.MCD.W,D,13/05/10,00:00,70.7500000,71.3000000,70.4500000,70.5000000,2332476
US1.MCD.W,D,14/05/10,00:00,70.1500000,70.4500000,69.1100000,69.5900000,2561537
US1.MCD.W,D,17/05/10,00:00,69.7700000,70.2400000,69.3500000,70.1400000,2044892
US1.MCD.W,D,18/05/10,00:00,70.5200000,70.8100000,69.8400000,70.0200000,6362383
US1.MCD.W,D,19/05/10,00:00,69.6600000,69.9500000,68.9000000,69.4000000,6548468
US1.MCD.W,D,20/05/10,00:00,68.1900000,68.7500000,67.6500000,67.7300000,1630625
US1.MCD.W,D,21/05/10,00:00,66.9900000,68.0400000,65.5500000,67.8600000,11719941
US1.MCD.W,D,24/05/10,00:00,67.8200000,68.5100000,67.2600000,67.6600000,6512714
US1.MCD.W,D,25/05/10,00:00,66.5900000,67.8400000,66.2000000,67.8400000,8678835
