<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.MSFT,D,04/01/10,00:00,30.6700000,31.1000000,30.6200000,30.9400000,18396877
US1.MSFT,D,05/01/10,00:00,30.9000000,31.1000000,30.6430000,30.9400000,24960463
US1.MSFT,D,06/01/10,00:00,30.9700000,31.0800000,30.5275000,30.7700000,29290541
US1.MSFT,D,07/01/10,00:00,30.6100000,30.7000000,30.1900000,30.4600000,25478635
US1.MSFT,D,08/01/10,00:00,30.2800000,30.8800000,30.2500000,30.6600000,28035970
US1.MSFT,D,11/01/10,00:00,30.7100000,30.7600000,30.1200000,30.2500000,34424383
US1.MSFT,D,12/01/10,00:00,30.2000000,30.4000000,29.9100000,30.0500000,27262426
US1.MSFT,D,13/01/10,00:00,30.2600000,30.5200000,30.0200000,30.3400000,19263925
US1.MSFT,D,14/01/10,00:00,30.2900000,31.1000000,30.2600000,30.9800000,35627771
US1.MSFT,D,15/01/10,00:00,31.1900000,31.2100000,30.7100000,30.8600000,34322238
US1.MSFT,D,19/01/10,00:00,30.7500000,31.2400000,30.7100000,31.0900000,20734497
US1.MSFT,D,20/01/10,00:00,30.8300000,30.9100000,30.3200000,30.5700000,18224272
US1.MSFT,D,21/01/10,00:00,30.6100000,30.7100000,30.0000000,30.0100000,18345964
US1.MSFT,D,22/01/10,00:00,30.0000000,30.2000000,28.8500000,28.9400000,28730878
US1.MSFT,D,25/01/10,00:00,29.2000000,29.6600000,29.1000000,29.3000000,23985530
US1.MSFT,D,26/01/10,00:00,29.1400000,29.8500000,29.0900000,29.5000000,41297343
US1.MSFT,D,27/01/10,00:00,29.3100000,29.8200000,29.2800000,29.6700000,18234473
US1.MSFT,D,28/01/10,00:00,29.8250000,29.8700000,28.8950000,29.1600000,33214136
US1.MSFT,D,29/01/10,00:00,29.8900000,29.9100000,27.6700000,28.1800000,69894740
US1.MSFT,D,01/02/10,00:00,28.3900000,28.4800000,27.9200000,28.4100000,50068015
US1.MSFT,D,02/02/10,00:00,28.3900000,28.5000000,28.1400000,28.4800000,25478005
US1.MSFT,D,03/02/10,00:00,28.2400000,28.7900000,28.1200000,28.6300000,33286020
US1.MSFT,D,04/02/10,00:00,28.3700000,28.5000000,27.8200000,27.8200000,22069325
US1.MSFT,D,05/02/10,00:00,27.9800000,28.2800000,27.5700000,28.0200000,22006154
US1.MSFT,D,08/02/10,00:00,27.9075000,28.0800000,27.6600000,27.7200000,26707532
US1.MSFT,D,09/02/10,00:00,27.9600000,28.3400000,27.7500000,28.0200000,16865244
US1.MSFT,D,10/02/10,00:00,28.0100000,28.2400000,27.8400000,27.9800000,16530806
US1.MSFT,D,11/02/10,00:00,27.9100000,28.4000000,27.7000000,28.1300000,28399181
US1.MSFT,D,12/02/10,00:00,27.7800000,28.0600000,27.5800000,27.9600000,28409244
US1.MSFT,D,16/02/10,00:00,28.1400000,28.3700000,28.0200000,28.3500000,86567291
