<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.PG,D,04/01/10,00:00,61.0400000,61.3100000,60.6506000,61.1200000,5700176
US1.PG,D,05/01/10,00:00,61.0100000,61.2800000,60.6500000,61.1400000,4911358
US1.PG,D,06/01/10,00:00,60.8200000,60.9400000,60.5000000,60.8500000,5473105
US1.PG,D,07/01/10,00:00,60.7000000,60.7000000,60.2500000,60.5200000,4796819
US1.PG,D,08/01/10,00:00,60.3500000,60.5300000,60.0600000,60.4300000,4634038
US1.PG,D,11/01/10,00:00,60.1100000,60.2700000,59.0100000,60.2000000,8075074
US1.PG,D,12/01/10,00:00,60.6500000,61.3600000,60.5200000,60.8900000,6053432
US1.PG,D,13/01/10,00:00,61.0500000,61.7900000,60.9100000,61.5200000,8377191
US1.PG,D,14/01/10,00:00,61.5500000,61.7400000,61.3800000,61.5800000,5013188
US1.PG,D,15/01/10,00:00,61.6200000,61.8600000,60.4400000,60.8200000,7249967
US1.PG,D,19/01/10,00:00,60.9000000,61.8200000,60.9000000,61.7200000,5400214
US1.PG,D,20/01/10,00:00,60.9100000,61.0400000,60.1000000,60.4500000,5492631
US1.PG,D,21/01/10,00:00,60.7000000,60.9300000,59.4600000,59.8400000,4196664
US1.PG,D,22/01/10,00:00,59.6600000,60.6900000,59.2200000,60.3100000,5907666
US1.PG,D,25/01/10,00:00,60.7600000,60.9800000,60.1600000,60.6300000,5631516
US1.PG,D,26/01/10,00:00,60.2000000,60.9500000,60.0000000,60.6900000,4992696
US1.PG,D,27/01/10,00:00,60.5000000,60.9100000,59.9500000,60.8100000,5872626
US1.PG,D,28/01/10,00:00,61.5900000,63.3000000,61.5800000,61.6800000,9288082
US1.PG,D,29/01/10,00:00,61.8100000,62.2400000,61.4700000,61.5500000,6138687
US1.PG,D,01/02/10,00:00,61.9100000,62.2400000,61.5100000,61.9900000,6911275
US1.PG,D,02/02/10,00:00,62.1400000,63.0400000,61.6600000,62.9000000,8445948
US1.PG,D,03/02/10,00:00,62.7400000,62.8600000,62.3700000,62.6500000,4907524
US1.PG,D,04/02/10,00:00,62.1100000,62.2700000,61.3100000,61.4000000,4717500
US1.PG,D,05/02/10,00:00,61.0700000,61.4300000,60.4300000,61.3000000,3960117
US1.PG,D,08/02/10,00:00,60.9800000,61.5100000,60.8406000,61.0100000,5042521
US1.PG,D,09/02/10,00:00,61.2800000,62.0000000,61.0100000,61.7600000,4297039
US1.PG,D,10/02/10,00:00,61.6700000,61.7500000,61.2384000,61.6700000,4076354
US1.PG,D,11/02/10,00:00,61.4800000,62.1600000,61.2700000,61.9600000,4593371
US1.PG,D,12/02/10,00:00,61.7500000,62.1300000,61.3000000,61.7600000,7910089
US1.PG,D,16/02/10,00:00,62.6400000,62.8702000,62.3500000,62.8300000,10064715
US1.PG,D,17/02/10,00:00,62.8500000,62.9700000,62.5200000,62.8500000,7676631
US1.PG,D,18/02/10,00:00,62.5900000,63.5000000,62.3500000,63.3900000,9639703
US1.PG,D,19/02/10,00:00,63.3000000,63.7400000,63.0300000,63.4500000,4417543
US1.PG,D,22/02/10,00:00,63.5600000,63.8750000,63.3000000,63.4200000,5803097
US1.PG,D,23/02/10,00:00,63.2500000,63.8200000,62.9200000,63.2100000,4390948
US1.PG,D,24/02/10,00:00,63.3200000,63.9600000,63.1300000,63.8900000,7106563
US1.PG,D,25/02/10,00:00,63.2000000,63.8500000,63.0100000,63.7000000,3921130
US1.PG,D,26/02/10,00:00,63.6600000,63.8350000,63.1500000,63.2800000,5433894
US1.PG,D,01/03/10,00:00,63.3200000,63.8000000,63.1500000,63.5100000,4086916
US1.PG,D,02/03/10,00:00,63.7100000,63.8700000,63.3684000,63.7100000,4556710
US1.PG,D,03/03/10,00:00,63.7100000,63.8950000,63.4300000,63.5500000,4419356
US1.PG,D,04/03/10,00:00,63.5000000,64.1500000,62.9500000,63.6700000,4740900
US1.PG,D,05/03/10,00:00,63.7100000,63.7100000,63.0700000,63.6900000,5140842
US1.PG,D,08/03/10,00:00,63.4200000,63.6700000,63.0300000,63.1900000,7595370
US1.PG,D,09/03/10,00:00,63.1175000,63.5000000,63.0800000,63.3000000,3887762
US1.PG,D,10/03/10,00:00,63.1300000,63.2900000,62.8600000,63.0100000,4640686
US1.PG,D,11/03/10,00:00,62.8500000,63.1800000,62.5200000,63.1700000,5876347
US1.PG,D,12/03/10,00:00,63.1800000,63.5500000,63.0600000,63.3200000,10948135
