<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.TRV,D,04/01/10,00:00,50.1500000,50.4400000,49.6600000,49.8000000,244381
US1.TRV,D,05/01/10,00:00,49.4600000,49.6700000,48.5200000,48.6300000,337497
US1.TRV,D,06/01/10,00:00,48.2600000,48.2600000,47.3600000,47.9100000,670238
US1.TRV,D,07/01/10,00:00,48.0000000,48.8400000,48.0000000,48.6400000,351359
US1.TRV,D,08/01/10,00:00,48.7400000,48.7600000,48.0700000,48.5300000,190410
US1.TRV,D,11/01/10,00:00,48.6800000,48.6800000,48.1000000,48.5100000,158235
US1.TRV,D,12/01/10,00:00,48.8000000,49.3300000,48.6300000,48.8600000,290285
US1.TRV,D,13/01/10,00:00,49.0400000,49.3100000,48.8500000,49.0000000,248395
US1.TRV,D,14/01/10,00:00,48.9400000,49.3900000,48.7400000,49.2500000,147048
US1.TRV,D,15/01/10,00:00,49.0800000,49.4600000,48.2600000,48.8100000,241691
US1.TRV,D,19/01/10,00:00,48.7900000,49.6000000,48.4400000,49.4300000,250015
US1.TRV,D,20/01/10,00:00,49.3500000,49.4800000,48.5500000,48.9500000,240947
US1.TRV,D,21/01/10,00:00,48.6700000,49.0600000,48.0300000,48.9400000,489988
US1.TRV,D,22/01/10,00:00,48.6900000,49.6400000,48.2200000,48.2800000,663716
US1.TRV,D,25/01/10,00:00,48.7600000,49.0900000,47.9500000,48.9000000,497384
US1.TRV,D,26/01/10,00:00,50.6100000,51.1300000,50.1600000,50.2500000,502436
US1.TRV,D,27/01/10,00:00,50.3500000,50.9000000,50.0300000,50.8600000,426469
US1.TRV,D,28/01/10,00:00,50.8500000,50.8800000,49.9800000,50.2800000,353492
US1.TRV,D,29/01/10,00:00,50.2500000,50.9900000,50.1300000,50.6500000,191448
US1.TRV,D,01/02/10,00:00,50.8200000,50.8900000,50.2200000,50.6700000,176501
US1.TRV,D,02/02/10,00:00,50.5900000,51.1700000,50.2700000,51.0500000,322449
US1.TRV,D,03/02/10,00:00,50.6800000,50.9400000,50.2900000,50.6100000,178264
US1.TRV,D,04/02/10,00:00,50.3900000,50.7200000,49.7000000,49.7100000,406844
US1.TRV,D,05/02/10,00:00,49.9500000,50.4800000,49.2400000,50.2900000,379041
US1.TRV,D,08/02/10,00:00,50.1100000,50.1850000,49.0100000,49.0300000,248778
US1.TRV,D,09/02/10,00:00,49.5100000,49.7400000,48.8900000,49.5400000,329130
US1.TRV,D,10/02/10,00:00,49.4100000,49.9000000,49.2500000,49.7500000,237144
US1.TRV,D,11/02/10,00:00,49.5300000,50.2600000,49.2600000,50.2000000,307166
US1.TRV,D,12/02/10,00:00,49.7700000,50.4800000,49.2800000,50.4800000,315370
US1.TRV,D,16/02/10,00:00,50.5100000,51.5900000,50.2600000,51.5700000,233387
US1.TRV,D,17/02/10,00:00,51.6200000,51.9100000,51.1800000,51.7800000,324883
US1.TRV,D,18/02/10,00:00,51.6400000,52.8800000,51.6400000,52.7000000,261056
US1.TRV,D,19/02/10,00:00,52.7200000,53.1200000,52.5700000,52.8900000,380930
US1.TRV,D,22/02/10,00:00,52.9800000,53.2800000,52.8400000,53.0000000,297081
US1.TRV,D,23/02/10,00:00,52.6600000,53.4200000,52.3200000,52.3800000,353309
US1.TRV,D,24/02/10,00:00,52.4800000,52.9600000,52.4800000,52.7600000,297953
US1.TRV,D,25/02/10,00:00,52.2000000,52.8800000,52.2000000,52.7500000,319331
