<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.XOM,D,04/01/10,00:00,68.6600000,69.2600000,68.6200000,69.1500000,16578781
US1.XOM,D,05/01/10,00:00,69.2000000,69.4500000,68.8000000,69.4200000,18239919
US1.XOM,D,06/01/10,00:00,69.4200000,70.4200000,69.3400000,70.0200000,20015729
US1.XOM,D,07/01/10,00:00,69.8500000,70.0500000,69.4200000,69.8000000,15781755
US1.XOM,D,08/01/10,00:00,69.6800000,69.7500000,69.2200000,69.5200000,14734966
US1.XOM,D,11/01/10,00:00,69.9300000,70.5200000,69.6600000,70.3000000,17458569
US1.XOM,D,12/01/10,00:00,69.7200000,69.9900000,69.5200000,69.9500000,12988388
US1.XOM,D,13/01/10,00:00,69.9500000,70.0300000,69.2700000,69.6700000,11925174
US1.XOM,D,14/01/10,00:00,69.5700000,69.7300000,69.3500000,69.6800000,10855980
US1.XOM,D,15/01/10,00:00,69.6400000,69.6800000,68.6500000,69.1100000,16776625
US1.XOM,D,19/01/10,00:00,68.8000000,69.3500000,68.4200000,69.2700000,14247411
US1.XOM,D,20/01/10,00:00,68.6000000,68.6500000,67.9400000,68.0300000,15763452
US1.XOM,D,21/01/10,00:00,68.1200000,68.1200000,66.5000000,66.7000000,11744908
US1.XOM,D,22/01/10,00:00,66.4600000,67.1394000,66.0000000,66.1000000,13579359
US1.XOM,D,25/01/10,00:00,66.4900000,66.7600000,65.6900000,65.8500000,12824417
US1.XOM,D,26/01/10,00:00,65.6500000,66.7400000,65.5100000,65.9200000,15228600
US1.XOM,D,27/01/10,00:00,65.6900000,66.0600000,65.0000000,65.5400000,13419019
US1.XOM,D,28/01/10,00:00,65.7900000,65.8500000,64.5700000,64.9600000,12945904
US1.XOM,D,29/01/10,00:00,65.1600000,65.8200000,64.0200000,64.4300000,15297896
US1.XOM,D,01/02/10,00:00,65.6800000,66.4100000,65.3600000,66.1800000,17639738
US1.XOM,D,02/02/10,00:00,66.7000000,67.1200000,66.4700000,66.9600000,14553757
US1.XOM,D,03/02/10,00:00,66.8500000,67.2300000,66.5600000,66.6000000,11549516
US1.XOM,D,04/02/10,00:00,66.3000000,66.3450000,64.6900000,64.7200000,11744493
US1.XOM,D,05/02/10,00:00,64.7200000,64.8900000,63.5800000,64.8000000,11226455
US1.XOM,D,08/02/10,00:00,64.8700000,65.4900000,64.3400000,64.3500000,13779911
US1.XOM,D,09/02/10,00:00,65.0900000,65.7100000,64.5600000,65.2000000,15657287
US1.XOM,D,10/02/10,00:00,64.9900000,65.2100000,64.1600000,64.8500000,9004047
US1.XOM,D,11/02/10,00:00,64.6900000,65.4800000,64.4100000,65.2400000,10648759
US1.XOM,D,12/02/10,00:00,64.5200000,65.1200000,64.2800000,65.1200000,10087330
US1.XOM,D,16/02/10,00:00,65.6800000,66.3700000,65.0800000,66.2800000,24080916
US1.XOM,D,17/02/10,00:00,66.4000000,66.4400000,65.5700000,65.7600000,10464141
US1.XOM,D,18/02/10,00:00,65.8800000,66.0701000,65.3500000,65.9600000,11135504
US1.XOM,D,19/02/10,00:00,65.5500000,66.2400000,65.4300000,65.8700000,13380127
US1.XOM,D,22/02/10,00:00,66.1200000,66.1200000,65.2500000,65.4000000,10364341
US1.XOM,D,23/02/10,00:00,65.2000000,65.5400000,64.1500000,64.9400000,13571616
US1.XOM,D,24/02/10,00:00,65.0200000,65.8667000,64.8400000,65.5500000,9139959
US1.XOM,D,25/02/10,00:00,64.5900000,65.1600000,64.3700000,65.1400000,9661464
US1.XOM,D,26/02/10,00:00,65.2500000,65.4000000,64.9200000,65.0000000,9754009
US1.XOM,D,01/03/10,00:00,65.3800000,65.5400000,65.0900000,65.4000000,9793838
US1.XOM,D,02/03/10,00:00,65.6700000,65.7900000,65.1500000,65.4900000,13311148
US1.XOM,D,03/03/10,00:00,65.6300000,65.9700000,65.3800000,65.4300000,11317767
US1.XOM,D,04/03/10,00:00,65.3400000,65.6000000,65.0800000,65.4000000,10477061
US1.XOM,D,05/03/10,00:00,65.9400000,66.5200000,65.7817000,66.4700000,14766451
US1.XOM,D,08/03/10,00:00,66.7200000,66.7900000,66.2300000,66.4800000,11750191
US1.XOM,D,09/03/10,00:00,66.3200000,67.1900000,66.2200000,66.7800000,17116371
US1.XOM,D,10/03/10,00:00,67.1600000,67.4100000,66.8000000,67.2200000,10544196
US1.XOM,D,11/03/10,00:00,67.4700000,67.4900000,66.9800000,67.2200000,11156098
US1.XOM,D,12/03/10,00:00,67.5200000,67.5300000,66.5000000,66.8000000,12871591
