<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.YAHOO,D,04/01/10,00:00,16.8900000,17.2000000,16.8800000,17.0900000,10654207
US1.YAHOO,D,05/01/10,00:00,17.1900000,17.2300000,17.0100000,17.2300000,6764962
US1.YAHOO,D,06/01/10,00:00,17.1450000,17.2975000,17.0700000,17.1700000,9380859
US1.YAHOO,D,07/01/10,00:00,16.8200000,16.8900000,16.5800000,16.7000000,18550125
US1.YAHOO,D,08/01/10,00:00,16.6900000,16.7600000,16.6200000,16.7000000,8279043
US1.YAHOO,D,11/01/10,00:00,16.7400000,16.8300000,16.4800000,16.7500000,8649884
US1.YAHOO,D,12/01/10,00:00,16.6900000,16.8600000,16.6000000,16.6800000,8573837
US1.YAHOO,D,13/01/10,00:00,16.8100000,16.9702000,16.6500000,16.8800000,8099315
US1.YAHOO,D,14/01/10,00:00,16.8100000,17.5000000,16.8100000,17.1200000,9753611
US1.YAHOO,D,15/01/10,00:00,17.2500000,17.2500000,16.7500000,16.8200000,7523183
US1.YAHOO,D,19/01/10,00:00,16.7800000,16.9600000,16.6400000,16.7500000,10097207
US1.YAHOO,D,20/01/10,00:00,16.6400000,16.6400000,16.2500000,16.3800000,6676367
US1.YAHOO,D,21/01/10,00:00,16.3700000,16.5700000,16.1000000,16.2000000,5571171
US1.YAHOO,D,22/01/10,00:00,16.0500000,16.2100000,15.8200000,15.8800000,7477746
US1.YAHOO,D,25/01/10,00:00,16.0500000,16.1100000,15.7400000,15.8600000,9732683
US1.YAHOO,D,26/01/10,00:00,15.8100000,16.1700000,15.7000000,15.9700000,15248274
US1.YAHOO,D,27/01/10,00:00,16.4900000,16.4900000,15.7700000,15.9800000,13517403
US1.YAHOO,D,28/01/10,00:00,15.9100000,15.9600000,15.4400000,15.4500000,9778173
US1.YAHOO,D,29/01/10,00:00,15.5200000,15.6600000,14.9000000,15.0100000,14806905
US1.YAHOO,D,01/02/10,00:00,15.1150000,15.3000000,14.8700000,15.0400000,16878584
US1.YAHOO,D,02/02/10,00:00,15.1000000,15.3200000,15.0400000,15.1700000,15284243
US1.YAHOO,D,03/02/10,00:00,15.1500000,15.6000000,15.1500000,15.4600000,15430433
US1.YAHOO,D,04/02/10,00:00,15.3000000,15.5200000,14.9950000,15.0000000,10879252
US1.YAHOO,D,05/02/10,00:00,15.0800000,15.2400000,14.9200000,15.1600000,4720630
US1.YAHOO,D,08/02/10,00:00,15.1800000,15.4500000,14.9600000,14.9900000,9560348
US1.YAHOO,D,09/02/10,00:00,15.2000000,15.2312000,14.9400000,15.0900000,6023525
US1.YAHOO,D,10/02/10,00:00,15.0000000,15.0000000,14.4850000,14.8000000,16487991
US1.YAHOO,D,11/02/10,00:00,14.8900000,15.2500000,14.7650000,15.2200000,11313013
US1.YAHOO,D,12/02/10,00:00,15.0600000,15.1900000,14.8550000,15.1700000,6783989
US1.YAHOO,D,16/02/10,00:00,15.2400000,15.4800000,15.1800000,15.4100000,21435200
US1.YAHOO,D,17/02/10,00:00,15.4700000,15.5000000,15.3200000,15.4400000,7300608
US1.YAHOO,D,18/02/10,00:00,15.4400000,15.6000000,15.3200000,15.5200000,7361123
US1.YAHOO,D,19/02/10,00:00,15.4800000,15.7100000,15.3600000,15.5700000,9271816
US1.YAHOO,D,22/02/10,00:00,15.6100000,15.6800000,15.4400000,15.5000000,6351293
US1.YAHOO,D,23/02/10,00:00,15.4500000,15.4850000,15.1400000,15.3800000,10429249
US1.YAHOO,D,24/02/10,00:00,15.5000000,15.7100000,15.3300000,15.5900000,11149620
US1.YAHOO,D,25/02/10,00:00,15.3300000,15.3500000,15.1300000,15.2400000,9020154
US1.YAHOO,D,26/02/10,00:00,15.2300000,15.4100000,15.1800000,15.3100000,13319047
US1.YAHOO,D,01/03/10,00:00,15.4400000,15.8300000,15.4000000,15.8100000,9134745
US1.YAHOO,D,02/03/10,00:00,15.8900000,15.9600000,15.6750000,15.7300000,9941482
US1.YAHOO,D,03/03/10,00:00,15.8500000,15.8500000,15.5500000,15.5600000,11217071
US1.YAHOO,D,04/03/10,00:00,15.5500000,15.8500000,15.5200000,15.8000000,10434630
US1.YAHOO,D,05/03/10,00:00,15.8900000,16.3833000,15.8900000,16.0600000,10164493
US1.YAHOO,D,08/03/10,00:00,16.3300000,16.6100000,16.3000000,16.5300000,18347015
US1.YAHOO,D,09/03/10,00:00,16.4400000,16.7200000,16.4200000,16.5300000,10034808
US1.YAHOO,D,10/03/10,00:00,16.5400000,16.9400000,16.5400000,16.7900000,13773462
US1.YAHOO,D,11/03/10,00:00,16.5700000,16.6500000,16.3600000,16.5300000,11916707
US1.YAHOO,D,12/03/10,00:00,16.5100000,16.5900000,16.2700000,16.3200000,14729349
