<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AMAT,D,04/01/10,00:00,14.1100000,14.5700000,14.0300000,14.3000000,14711109
US2.AMAT,D,05/01/10,00:00,14.2700000,14.3800000,14.0400000,14.1900000,9939106
US2.AMAT,D,06/01/10,00:00,14.2300000,14.4000000,14.1000000,14.1600000,6810394
US2.AMAT,D,07/01/10,00:00,14.1400000,14.2100000,13.9600000,14.0100000,12600256
US2.AMAT,D,08/01/10,00:00,14.2400000,14.5900000,14.1100000,14.5600000,24910477
US2.AMAT,D,11/01/10,00:00,14.8300000,14.9400000,14.4500000,14.8700000,19160824
US2.AMAT,D,12/01/10,00:00,14.7110000,14.7380000,14.0300000,14.2000000,18635079
US2.AMAT,D,13/01/10,00:00,14.3200000,14.4150000,13.9200000,14.2500000,11774231
US2.AMAT,D,14/01/10,00:00,14.2700000,14.3800000,14.0200000,14.3500000,15204091
US2.AMAT,D,15/01/10,00:00,14.3100000,14.3200000,13.6700000,13.7300000,17327478
US2.AMAT,D,19/01/10,00:00,13.7900000,14.0200000,13.7600000,13.9700000,7259067
US2.AMAT,D,20/01/10,00:00,13.7800000,13.8900000,13.6500000,13.8000000,8002420
US2.AMAT,D,21/01/10,00:00,13.8200000,14.0800000,13.5250000,13.5800000,6142617
US2.AMAT,D,22/01/10,00:00,13.3350000,13.3700000,12.6100000,12.6400000,14103450
US2.AMAT,D,25/01/10,00:00,12.7065000,12.9400000,12.5900000,12.6400000,20349904
US2.AMAT,D,26/01/10,00:00,12.7600000,13.0050000,12.6400000,12.6500000,14469269
US2.AMAT,D,27/01/10,00:00,12.7500000,13.0700000,12.6900000,13.0400000,11582045
US2.AMAT,D,28/01/10,00:00,13.0800000,13.0800000,12.3500000,12.6100000,10894585
US2.AMAT,D,29/01/10,00:00,12.8200000,12.8500000,12.1500000,12.1900000,7033573
US2.AMAT,D,01/02/10,00:00,12.2900000,12.5600000,12.2300000,12.5000000,9116825
US2.AMAT,D,02/02/10,00:00,12.4800000,12.5700000,12.3600000,12.5100000,9207491
US2.AMAT,D,03/02/10,00:00,12.3600000,12.4800000,12.1200000,12.2800000,16693645
US2.AMAT,D,04/02/10,00:00,12.1900000,12.1900000,11.6700000,11.8000000,11857870
US2.AMAT,D,05/02/10,00:00,11.8000000,12.2700000,11.6800000,12.2300000,12851974
US2.AMAT,D,08/02/10,00:00,12.1800000,12.3300000,12.0300000,12.0700000,6062401
US2.AMAT,D,09/02/10,00:00,12.2800000,12.4000000,12.0400000,12.1700000,6475065
US2.AMAT,D,10/02/10,00:00,12.2500000,12.3100000,12.1000000,12.2300000,5156184
US2.AMAT,D,11/02/10,00:00,12.2200000,12.5300000,12.0600000,12.4600000,7750824
US2.AMAT,D,12/02/10,00:00,12.3200000,12.7200000,12.1500000,12.4700000,8697613
US2.AMAT,D,16/02/10,00:00,12.6800000,12.9700000,12.5600000,12.9400000,16149410
US2.AMAT,D,17/02/10,00:00,13.0800000,13.1500000,12.7500000,12.9900000,11694281
US2.AMAT,D,18/02/10,00:00,12.7800000,12.7900000,12.3100000,12.6720000,22614703
US2.AMAT,D,19/02/10,00:00,12.6200000,12.6300000,12.3500000,12.5100000,14856309
US2.AMAT,D,22/02/10,00:00,12.5300000,12.5800000,12.3900000,12.4500000,14442801
US2.AMAT,D,23/02/10,00:00,12.4700000,12.4800000,11.9400000,12.0200000,14869027
US2.AMAT,D,24/02/10,00:00,12.0800000,12.4200000,12.0500000,12.2700000,11120524
US2.AMAT,D,25/02/10,00:00,12.0600000,12.2500000,11.9400000,12.2300000,8115695
US2.AMAT,D,26/02/10,00:00,12.2910000,12.3000000,12.0300000,12.2400000,6965240
US2.AMAT,D,01/03/10,00:00,12.3100000,12.5000000,12.3000000,12.4900000,8107724
US2.AMAT,D,02/03/10,00:00,12.5575000,12.6400000,12.3500000,12.4200000,11920606
US2.AMAT,D,03/03/10,00:00,12.4500000,12.5500000,12.3400000,12.3900000,9472416
US2.AMAT,D,04/03/10,00:00,12.4100000,12.4800000,12.0900000,12.2600000,14171299
US2.AMAT,D,05/03/10,00:00,12.3500000,12.4300000,12.2300000,12.3000000,13156995
US2.AMAT,D,08/03/10,00:00,12.4600000,12.4900000,12.3100000,12.3600000,17716363
US2.AMAT,D,09/03/10,00:00,12.3200000,12.4150000,12.2400000,12.2900000,12718026
US2.AMAT,D,10/03/10,00:00,12.2800000,12.5500000,12.2700000,12.5300000,14101014
US2.AMAT,D,11/03/10,00:00,12.5100000,12.5100000,12.2888000,12.4000000,19827826
US2.AMAT,D,12/03/10,00:00,12.5000000,12.5100000,12.3000000,12.3700000,14033405
US2.AMAT,D,15/03/10,00:00,12.3200000,12.3200000,12.1200000,12.2200000,12284927
US2.AMAT,D,16/03/10,00:00,12.2500000,12.4900000,12.2000000,12.4500000,13905424
US2.AMAT,D,17/03/10,00:00,12.4900000,12.6900000,12.4500000,12.6600000,13516532
US2.AMAT,D,18/03/10,00:00,12.6800000,12.7700000,12.5300000,12.6250000,7059355
US2.AMAT,D,19/03/10,00:00,12.6800000,12.6800000,12.3700000,12.4900000,8876853
US2.AMAT,D,22/03/10,00:00,12.4200000,12.8200000,12.3900000,12.7800000,13260587
US2.AMAT,D,23/03/10,00:00,12.8110000,13.3200000,12.8100000,13.2300000,19063681
US2.AMAT,D,24/03/10,00:00,13.1800000,13.2300000,12.9100000,13.0100000,15547809
US2.AMAT,D,25/03/10,00:00,13.1300000,13.3800000,13.0900000,13.1800000,16445542
US2.AMAT,D,26/03/10,00:00,13.2700000,13.4500000,13.0200000,13.2100000,14503508
US2.AMAT,D,29/03/10,00:00,13.2400000,13.4500000,13.2200000,13.3000000,17617695
US2.AMAT,D,30/03/10,00:00,13.3600000,13.6000000,13.2393000,13.4500000,24565275
US2.AMAT,D,31/03/10,00:00,13.4400000,13.7500000,13.4400000,13.4675000,21043451
US2.AMAT,D,01/04/10,00:00,13.6000000,13.7300000,13.2666000,13.3300000,17982895
US2.AMAT,D,05/04/10,00:00,13.4200000,13.6100000,13.3700000,13.5200000,19331217
US2.AMAT,D,06/04/10,00:00,13.4900000,13.5550000,13.3900000,13.4800000,8788668
US2.AMAT,D,07/04/10,00:00,13.4600000,13.7100000,13.3800000,13.5800000,15573181
US2.AMAT,D,08/04/10,00:00,13.5000000,13.5000000,13.3000000,13.3300000,13821999
US2.AMAT,D,09/04/10,00:00,13.3590000,13.4700000,13.3100000,13.4650000,7474268
US2.AMAT,D,12/04/10,00:00,13.4900000,13.7400000,13.4200000,13.6400000,15384146
US2.AMAT,D,13/04/10,00:00,13.6000000,13.8400000,13.5610000,13.8100000,14314220
US2.AMAT,D,14/04/10,00:00,14.0300000,14.5000000,14.0300000,14.4100000,20943568
US2.AMAT,D,15/04/10,00:00,14.4600000,14.4900000,14.2600000,14.3500000,9391017
US2.AMAT,D,16/04/10,00:00,14.2800000,14.4500000,14.1800000,14.3600000,9478040
US2.AMAT,D,19/04/10,00:00,14.2700000,14.3800000,13.9900000,14.2900000,10284909
US2.AMAT,D,20/04/10,00:00,14.3600000,14.4600000,14.2300000,14.4500000,9503408
US2.AMAT,D,21/04/10,00:00,14.4700000,14.5000000,14.1200000,14.4300000,9216209
US2.AMAT,D,22/04/10,00:00,14.2300000,14.4100000,13.9700000,14.3700000,14510698
US2.AMAT,D,23/04/10,00:00,14.3600000,14.4800000,14.1850000,14.4600000,9988155
US2.AMAT,D,26/04/10,00:00,14.4300000,14.5700000,14.3000000,14.3500000,8585571
US2.AMAT,D,27/04/10,00:00,14.3000000,14.3850000,13.9000000,13.9300000,8103796
US2.AMAT,D,28/04/10,00:00,13.9900000,14.1600000,13.8500000,14.0600000,6360083
US2.AMAT,D,29/04/10,00:00,14.0900000,14.2800000,14.0100000,14.2500000,7592593
US2.AMAT,D,30/04/10,00:00,14.2900000,14.2900000,13.7700000,13.7800000,8143609
US2.AMAT,D,03/05/10,00:00,13.8500000,14.1000000,13.7700000,14.0000000,8155379
US2.AMAT,D,04/05/10,00:00,13.8100000,13.8100000,13.1800000,13.3800000,11731629
US2.AMAT,D,05/05/10,00:00,13.2600000,13.4700000,13.0900000,13.2150000,7217897
US2.AMAT,D,06/05/10,00:00,13.1600000,13.3402000,11.9900000,12.6900000,6836093
US2.AMAT,D,07/05/10,00:00,12.5700000,12.7400000,12.0400000,12.5000000,6201372
US2.AMAT,D,10/05/10,00:00,13.0300000,13.3550000,12.8500000,13.1900000,6328165
US2.AMAT,D,11/05/10,00:00,13.0200000,13.6100000,12.9600000,13.3800000,9657720
US2.AMAT,D,12/05/10,00:00,13.4600000,13.8100000,13.3900000,13.7700000,13242653
US2.AMAT,D,13/05/10,00:00,13.7200000,13.7500000,13.1500000,13.2300000,8960229
