<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.CA,D,04/01/10,00:00,22.8900000,23.1200000,22.7800000,22.9800000,643663
US2.CA,D,05/01/10,00:00,22.6700000,23.0600000,22.6100000,22.9000000,660618
US2.CA,D,06/01/10,00:00,22.7700000,22.9300000,22.6600000,22.7600000,621220
US2.CA,D,07/01/10,00:00,22.8000000,22.9700000,22.6800000,22.8600000,520500
US2.CA,D,08/01/10,00:00,22.8000000,23.1300000,22.7700000,23.1100000,547044
US2.CA,D,11/01/10,00:00,23.1400000,23.1800000,22.8400000,23.0700000,425531
US2.CA,D,12/01/10,00:00,23.0700000,23.0700000,22.4800000,22.7550000,652849
US2.CA,D,13/01/10,00:00,22.8100000,23.2800000,22.7400000,23.1600000,490402
US2.CA,D,14/01/10,00:00,23.0200000,23.5800000,23.0000000,23.4600000,727315
US2.CA,D,15/01/10,00:00,23.5300000,23.7500000,23.0400000,23.2800000,627950
US2.CA,D,19/01/10,00:00,23.2900000,23.8600000,23.2200000,23.7500000,867122
US2.CA,D,20/01/10,00:00,23.5000000,23.7000000,23.0700000,23.5500000,955882
US2.CA,D,21/01/10,00:00,23.6100000,23.7600000,23.2400000,23.3600000,825077
US2.CA,D,22/01/10,00:00,23.2900000,23.4800000,22.7500000,22.8200000,752050
US2.CA,D,25/01/10,00:00,22.7400000,22.8900000,22.4500000,22.5600000,816382
US2.CA,D,26/01/10,00:00,22.6500000,22.8550000,22.5400000,22.6900000,831351
US2.CA,D,27/01/10,00:00,22.5100000,22.7800000,22.3800000,22.6800000,604378
US2.CA,D,28/01/10,00:00,22.7300000,22.7400000,22.0900000,22.3800000,697144
US2.CA,D,29/01/10,00:00,22.4500000,22.5800000,21.9000000,22.0700000,1326695
US2.CA,D,01/02/10,00:00,22.1000000,22.1200000,21.8100000,22.0000000,792617
US2.CA,D,02/02/10,00:00,21.9100000,22.2300000,21.8700000,22.1300000,780644
US2.CA,D,03/02/10,00:00,22.0000000,22.0800000,21.8500000,22.0300000,467754
US2.CA,D,04/02/10,00:00,21.9100000,22.0000000,21.5100000,21.5800000,815770
US2.CA,D,05/02/10,00:00,21.6700000,21.7900000,21.3400000,21.6900000,871120
US2.CA,D,08/02/10,00:00,21.7400000,21.7900000,21.4100000,21.5000000,379554
US2.CA,D,09/02/10,00:00,21.8200000,21.8850000,21.5600000,21.7500000,619452
US2.CA,D,10/02/10,00:00,21.7800000,21.9000000,21.4600000,21.6100000,687874
US2.CA,D,11/02/10,00:00,21.5800000,21.7600000,21.3000000,21.7300000,454695
US2.CA,D,12/02/10,00:00,21.4500000,21.6200000,21.2300000,21.5900000,715994
US2.CA,D,16/02/10,00:00,21.6500000,22.0100000,21.5600000,21.9800000,658556
US2.CA,D,17/02/10,00:00,22.1850000,22.2500000,22.0100000,22.1200000,468070
US2.CA,D,18/02/10,00:00,22.1400000,22.4900000,22.0800000,22.4600000,621015
US2.CA,D,19/02/10,00:00,22.5200000,22.7200000,22.4000000,22.5100000,485275
US2.CA,D,22/02/10,00:00,22.5100000,22.5200000,22.1500000,22.3400000,524274
US2.CA,D,23/02/10,00:00,22.3000000,22.4400000,22.0800000,22.1400000,560161
US2.CA,D,24/02/10,00:00,22.3500000,22.7500000,22.2900000,22.5600000,679962
US2.CA,D,25/02/10,00:00,22.1600000,22.5300000,21.9800000,22.4900000,707877
US2.CA,D,26/02/10,00:00,22.4700000,22.5300000,22.2900000,22.5000000,402542
US2.CA,D,01/03/10,00:00,22.6200000,22.9700000,22.6200000,22.8100000,397148
US2.CA,D,02/03/10,00:00,22.8600000,22.9800000,22.5900000,22.6700000,634014
US2.CA,D,03/03/10,00:00,22.7400000,22.8200000,22.6100000,22.6600000,728848
US2.CA,D,04/03/10,00:00,22.6500000,22.6950000,22.4500000,22.4900000,699553
US2.CA,D,05/03/10,00:00,22.4600000,22.9100000,22.4600000,22.8500000,971736
US2.CA,D,08/03/10,00:00,22.8400000,22.8900000,22.7000000,22.8100000,388699
US2.CA,D,09/03/10,00:00,22.7000000,22.9900000,22.6500000,22.8600000,586677
US2.CA,D,10/03/10,00:00,22.7000000,22.9400000,22.4500000,22.5900000,1548928
US2.CA,D,11/03/10,00:00,22.6600000,22.6600000,22.4200000,22.6500000,1251308
US2.CA,D,12/03/10,00:00,22.6100000,22.8500000,22.5100000,22.7900000,872221
US2.CA,D,15/03/10,00:00,22.7800000,23.0550000,22.7200000,22.9900000,674209
US2.CA,D,16/03/10,00:00,23.0600000,23.2500000,22.9800000,23.2300000,646182
US2.CA,D,17/03/10,00:00,23.2700000,23.6200000,23.2700000,23.5000000,595097
US2.CA,D,18/03/10,00:00,23.5400000,23.6000000,23.4300000,23.5100000,578487
US2.CA,D,19/03/10,00:00,23.7500000,23.7500000,23.2500000,23.4400000,692793
US2.CA,D,22/03/10,00:00,23.4100000,23.6800000,23.2800000,23.6000000,938954
US2.CA,D,23/03/10,00:00,23.5100000,23.8200000,23.4000000,23.7800000,815516
US2.CA,D,24/03/10,00:00,23.6600000,23.8000000,23.6400000,23.7300000,721061
US2.CA,D,25/03/10,00:00,23.7100000,23.8900000,23.4300000,23.4300000,1007335
US2.CA,D,26/03/10,00:00,23.4900000,23.5700000,23.2400000,23.4000000,746751
US2.CA,D,29/03/10,00:00,23.3200000,23.6100000,23.3200000,23.3900000,548434
US2.CA,D,30/03/10,00:00,23.4100000,23.6200000,23.2500000,23.4300000,386954
US2.CA,D,31/03/10,00:00,23.4000000,23.6400000,23.2900000,23.4500000,404027
US2.CA,D,01/04/10,00:00,23.4900000,23.7000000,23.1000000,23.3000000,616260
US2.CA,D,05/04/10,00:00,23.3700000,23.9100000,23.3000000,23.8500000,576291
US2.CA,D,06/04/10,00:00,23.1600000,23.4800000,22.5200000,23.4100000,2742280
US2.CA,D,07/04/10,00:00,23.2900000,23.3100000,22.5500000,22.6300000,1200124
US2.CA,D,08/04/10,00:00,22.5300000,23.0400000,22.4900000,22.8600000,882869
US2.CA,D,09/04/10,00:00,22.9000000,22.9700000,22.7800000,22.9500000,648358
US2.CA,D,12/04/10,00:00,22.8900000,23.1300000,22.8500000,23.0700000,538828
US2.CA,D,13/04/10,00:00,22.9850000,22.9900000,22.7250000,22.9400000,597764
US2.CA,D,14/04/10,00:00,22.9400000,23.2800000,22.8800000,23.2300000,658088
