<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.CSCO,D,04/01/10,00:00,24.0200000,24.8400000,24.0200000,24.6900000,53693620
US2.CSCO,D,05/01/10,00:00,24.5800000,24.7300000,24.3800000,24.5800000,34068918
US2.CSCO,D,06/01/10,00:00,24.5200000,24.7400000,24.3400000,24.4000000,20380913
US2.CSCO,D,07/01/10,00:00,24.2600000,24.5700000,24.1700000,24.5400000,16561416
US2.CSCO,D,08/01/10,00:00,24.3700000,24.7000000,24.2600000,24.6401000,20058009
US2.CSCO,D,11/01/10,00:00,24.6100000,24.8900000,24.4100000,24.5800000,18772862
US2.CSCO,D,12/01/10,00:00,24.4400000,24.5000000,24.0800000,24.1800000,13326403
US2.CSCO,D,13/01/10,00:00,24.2700000,24.7000000,24.2000000,24.6600000,20988685
US2.CSCO,D,14/01/10,00:00,24.5200000,25.0800000,24.5200000,24.9400000,33260254
US2.CSCO,D,15/01/10,00:00,25.0600000,25.0900000,24.3000000,24.4000000,21948297
US2.CSCO,D,19/01/10,00:00,24.5700000,24.8720000,24.5200000,24.8500000,19577291
US2.CSCO,D,20/01/10,00:00,24.6700000,24.7300000,24.1200000,24.4100000,23634797
US2.CSCO,D,21/01/10,00:00,24.4700000,24.6500000,23.8600000,23.9800000,12528755
US2.CSCO,D,22/01/10,00:00,23.8300000,23.9300000,22.8700000,22.9700000,18979870
US2.CSCO,D,25/01/10,00:00,23.0400000,23.1720000,22.7400000,23.0000000,21083251
US2.CSCO,D,26/01/10,00:00,22.7900000,23.2000000,22.6400000,22.9000000,22383174
US2.CSCO,D,27/01/10,00:00,22.9000000,23.2600000,22.7800000,23.1400000,13993018
US2.CSCO,D,28/01/10,00:00,23.1800000,23.1800000,22.3500000,22.5100000,17273549
US2.CSCO,D,29/01/10,00:00,22.9588000,23.1300000,22.4400000,22.4700000,26237157
US2.CSCO,D,01/02/10,00:00,22.6500000,22.9400000,22.3800000,22.7200000,23215261
US2.CSCO,D,02/02/10,00:00,22.8100000,23.1100000,22.5100000,23.0200000,23437091
