<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.FSLR,D,04/01/10,00:00,136.4900000,136.8300000,133.6100000,135.4000000,82895
US2.FSLR,D,05/01/10,00:00,135.3200000,140.5600000,135.3200000,137.3900000,200272
US2.FSLR,D,06/01/10,00:00,138.6900000,140.2500000,137.7600000,139.9700000,132858
US2.FSLR,D,07/01/10,00:00,140.6200000,142.3750000,138.9800000,140.4400000,95178
US2.FSLR,D,08/01/10,00:00,139.2700000,141.5000000,137.1200000,139.6100000,91784
US2.FSLR,D,11/01/10,00:00,140.2700000,140.9000000,137.7700000,137.9700000,93359
US2.FSLR,D,12/01/10,00:00,136.2800000,136.8700000,132.6800000,132.9300000,115412
US2.FSLR,D,13/01/10,00:00,133.5200000,133.7400000,129.4200000,132.2000000,156554
US2.FSLR,D,14/01/10,00:00,131.1700000,136.1200000,124.7600000,124.8500000,575271
US2.FSLR,D,15/01/10,00:00,125.8900000,126.3700000,122.5100000,124.0600000,300980
US2.FSLR,D,19/01/10,00:00,123.1300000,124.6500000,120.5700000,124.0000000,195356
US2.FSLR,D,20/01/10,00:00,120.6600000,121.9000000,118.2600000,119.3600000,211274
US2.FSLR,D,21/01/10,00:00,119.0800000,121.4000000,118.2600000,119.1100000,219976
US2.FSLR,D,22/01/10,00:00,119.3100000,119.3500000,109.8700000,112.5200000,285516
US2.FSLR,D,25/01/10,00:00,114.7400000,115.7500000,111.1400000,111.7400000,300000
US2.FSLR,D,26/01/10,00:00,112.0200000,117.8800000,111.4700000,115.2500000,343260
US2.FSLR,D,27/01/10,00:00,114.7600000,115.9800000,111.1200000,114.0200000,162083
US2.FSLR,D,28/01/10,00:00,115.2500000,115.7700000,112.0800000,114.1700000,163838
US2.FSLR,D,29/01/10,00:00,114.6400000,120.0150000,113.0200000,113.4000000,178606
US2.FSLR,D,01/02/10,00:00,114.4900000,119.8400000,114.4000000,117.4900000,122348
US2.FSLR,D,02/02/10,00:00,117.2200000,118.6800000,115.3800000,117.3000000,198726
US2.FSLR,D,03/02/10,00:00,118.3400000,120.2500000,117.9300000,119.0100000,111151
US2.FSLR,D,04/02/10,00:00,116.9300000,117.6300000,113.2500000,113.4800000,78958
US2.FSLR,D,05/02/10,00:00,113.9200000,114.4000000,110.8900000,114.1400000,191223
US2.FSLR,D,08/02/10,00:00,112.2100000,113.2100000,110.6900000,111.1800000,121743
US2.FSLR,D,09/02/10,00:00,113.4400000,114.8900000,111.2700000,113.1400000,161411
US2.FSLR,D,10/02/10,00:00,112.2600000,113.0000000,107.2700000,109.2200000,147086
US2.FSLR,D,11/02/10,00:00,110.6600000,114.4200000,110.4400000,113.8500000,152668
US2.FSLR,D,12/02/10,00:00,113.2100000,115.8100000,110.4700000,115.2000000,144452
US2.FSLR,D,16/02/10,00:00,116.8400000,122.6900000,116.0400000,121.2500000,173160
US2.FSLR,D,17/02/10,00:00,123.4400000,124.7200000,121.7200000,124.3000000,155974
US2.FSLR,D,18/02/10,00:00,125.6300000,126.9900000,124.1000000,126.2500000,278503
US2.FSLR,D,19/02/10,00:00,116.5500000,118.4300000,115.1700000,115.8100000,422069
US2.FSLR,D,22/02/10,00:00,114.7600000,115.0000000,110.4500000,112.7200000,325438
US2.FSLR,D,23/02/10,00:00,109.2500000,109.4100000,105.1500000,105.8000000,315665
US2.FSLR,D,24/02/10,00:00,106.6200000,107.3600000,103.6100000,105.0400000,178553
US2.FSLR,D,25/02/10,00:00,100.6400000,103.4500000,98.7600000,103.0900000,225432
US2.FSLR,D,26/02/10,00:00,105.0200000,105.9500000,102.5500000,105.9500000,151550
US2.FSLR,D,01/03/10,00:00,107.7500000,107.7900000,104.3900000,105.6500000,98175
US2.FSLR,D,02/03/10,00:00,106.1400000,109.3000000,104.7800000,107.1600000,152625
US2.FSLR,D,03/03/10,00:00,108.9100000,110.0400000,107.4800000,107.6500000,89834
US2.FSLR,D,04/03/10,00:00,109.0800000,109.6700000,107.9700000,108.1700000,73547
US2.FSLR,D,05/03/10,00:00,108.9400000,109.3900000,108.1600000,108.8600000,71275
US2.FSLR,D,08/03/10,00:00,109.1100000,109.2500000,106.5400000,108.6500000,66103
US2.FSLR,D,09/03/10,00:00,105.8700000,107.2600000,104.8700000,106.3600000,137007
US2.FSLR,D,10/03/10,00:00,106.2000000,112.2300000,106.2000000,110.9700000,139276
US2.FSLR,D,11/03/10,00:00,110.9200000,115.6700000,109.9600000,113.7100000,177951
US2.FSLR,D,12/03/10,00:00,114.7700000,117.4300000,114.3600000,115.4600000,92196
US2.FSLR,D,15/03/10,00:00,115.5600000,118.6300000,114.2400000,114.9300000,120967
US2.FSLR,D,16/03/10,00:00,116.4600000,116.5000000,114.4100000,115.2600000,66303
US2.FSLR,D,17/03/10,00:00,116.2400000,116.4800000,114.4100000,114.6200000,51463
US2.FSLR,D,18/03/10,00:00,114.0500000,115.7600000,113.5200000,115.1200000,116175
US2.FSLR,D,19/03/10,00:00,114.8900000,114.8900000,112.5500000,113.2300000,91422
US2.FSLR,D,22/03/10,00:00,110.0100000,110.9000000,108.9700000,109.3900000,104082
US2.FSLR,D,23/03/10,00:00,109.6500000,112.6200000,109.5200000,111.9400000,88961
